arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
unmatched,eval,12,final,samecls_samecont,c000,-2.6702880859375e-05,4.2927565574646,0.09063137322664261,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,12,final,othercls_samecont,c000,0.12494659423828125,4.963171005249023,0.10431463271379471,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,12,final,samecls_diffcont,c000,-0.00011444091796875,10.309916496276855,0.21493613719940186,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,12,final,othercls_diffcont,c000,0.24993515014648438,5.422986030578613,0.11332952231168747,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,12,final,samecls_samecont,c000,-7.2479248046875e-05,5.5580668449401855,0.11696438491344452,1.0,1.0,1.0,0,p00630,110,1,0,2
selected,eval,12,final,othercls_samecont,c000,0.12494277954101562,5.079130172729492,0.10746888816356659,1.0,1.0,1.0,0,p00174,108,1,0,1
selected,eval,12,final,samecls_diffcont,c000,-0.37511634826660156,5.7429986000061035,0.12141714990139008,1.0,1.0,1.0,0,p00659,79,1,0,2
selected,eval,12,final,othercls_diffcont,c000,0.4999217987060547,6.221555233001709,0.13052307069301605,1.0,1.0,1.0,0,p00380,79,1,0,1
constructed,eval,12,final,samecls_samecont,c000,0.12490081787109375,6.246450901031494,0.13223621249198914,1.45529043674469,1.45529043674469,1.45529043674469,0,p00188,109,1,0,0
constructed_min,eval,12,final,samecls_samecont,c000,-2.6702880859375e-05,4.2927565574646,0.09063137322664261,1.0,1.0,1.0,0,p00188,109,1,0,0
constructed,eval,12,final,othercls_samecont,c000,-0.37509918212890625,6.24694299697876,0.13095787167549133,1.2587130069732666,1.2587130069732666,1.2587130069732666,0,p00117,108,1,0,0
constructed_min,eval,12,final,othercls_samecont,c000,0.12494659423828125,4.2938232421875,0.09035355597734451,0.8649221658706665,0.8649221658706665,0.8649221658706665,0,p00117,108,1,0,0
