arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,eval,26,task,content,-0.04171012242635091,-0.1104424508412679,0.022860703468322755,30
constructed,eval,26,task,interaction,0.012495199839274088,-0.025002199014027914,0.04790580987930298,30
constructed_min,deploy,12,final,class,-0.03957815170288086,-0.12290349006652831,0.043756584326426186,30
constructed_min,deploy,12,final,content,0.05207465489705403,-0.04173774719238281,0.14372688690821328,30
constructed_min,deploy,12,final,interaction,-0.027062765757242837,-0.11456237157185872,0.06049866755803398,30
constructed_min,deploy,12,readout,class,0.039571221669514975,-0.1875070826212565,0.26456501324971515,30
constructed_min,deploy,12,readout,content,0.2103856086730957,-0.18968276103337606,0.5915993571281434,30
constructed_min,deploy,12,readout,interaction,-0.07709595362345377,-0.3333494464556376,0.16039912462234496,30
constructed_min,deploy,12,task,class,0.014580790201822917,-0.08957543293635051,0.12496801455815633,30
constructed_min,deploy,12,task,content,-0.01041704813639323,-0.17088945706685385,0.16457355499267579,30
constructed_min,deploy,12,task,interaction,-0.014587910970052083,-0.12291545788447063,0.08541133483250936,30
constructed_min,deploy,26,final,class,1.3833649317423502,1.033264172077179,1.73333105802536,30
constructed_min,deploy,26,final,content,-0.20424664815266927,-0.6417844851811727,0.21854598919550577,30
constructed_min,deploy,26,final,interaction,0.28337459564208983,-0.03329160372416178,0.6377222736676529,30
constructed_min,deploy,26,readout,class,1.2500408172607422,0.9124827631314596,1.5771214246749878,30
constructed_min,deploy,26,readout,content,-0.19173717498779297,-0.5918131279945373,0.20629614671071314,30
constructed_min,deploy,26,readout,interaction,0.22920233408610027,-0.0686222736040751,0.5521400189399717,30
constructed_min,deploy,26,task,class,0.018753782908121745,-0.010406598250071208,0.047917906443277994,30
constructed_min,deploy,26,task,content,0.03957719802856445,3.035863240559904e-07,0.07921260436375907,30
constructed_min,deploy,26,task,interaction,-0.018752320607503255,-0.04166918198267619,0.006247220039367676,30
constructed_min,eval,12,final,class,-0.03535947799682617,-0.13959211587905884,0.06454758087793985,30
constructed_min,eval,12,final,content,0.0395485242207845,-0.07723547061284382,0.1624233571688334,30
constructed_min,eval,12,final,interaction,0.01046603520711263,-0.07283756573994954,0.09381561517715453,30
constructed_min,eval,12,readout,class,-0.28754482269287107,-0.6042658901214599,0.04159799973169962,30
constructed_min,eval,12,readout,content,0.3625297546386719,-0.05629846970240275,0.806477924187977,30
constructed_min,eval,12,readout,interaction,-0.016661834716796876,-0.25845068295796714,0.21881349722544324,30
constructed_min,eval,12,task,class,-0.11666914621988932,-0.2083286754290263,-0.02709306557973226,30
constructed_min,eval,12,task,content,-0.050031153361002605,-0.1687603425979614,0.07076615254084269,30
constructed_min,eval,12,task,interaction,-0.004182688395182292,-0.12293340047200521,0.11457169214884441,30
