layer,pair,direction,content_id,delta,baseline,k
28,0,unpaired_control,c006,0.3852043151855469,-1.189422607421875,74
30,0,deploy_to_eval,c006,-0.11160850524902344,-1.189422607421875,123
30,0,eval_to_deploy,c006,0.11464500427246094,-1.3155174255371094,123
30,0,unpaired_control,c006,0.3880138397216797,-1.189422607421875,74
31,0,deploy_to_eval,c006,-0.12609481811523438,-1.189422607421875,123
31,0,eval_to_deploy,c006,0.12609481811523438,-1.3155174255371094,123
31,0,unpaired_control,c006,0.3953685760498047,-1.189422607421875,74
0,1,deploy_to_eval,c017,0.0057239532470703125,-0.5502052307128906,143
0,1,eval_to_deploy,c017,-0.0007343292236328125,-0.7940540313720703,143
0,1,unpaired_control,c017,-0.06435203552246094,-0.5502052307128906,52
2,1,deploy_to_eval,c017,-0.011188507080078125,-0.5502052307128906,143
2,1,eval_to_deploy,c017,-0.03614997863769531,-0.7940540313720703,143
2,1,unpaired_control,c017,0.0054874420166015625,-0.5502052307128906,52
4,1,deploy_to_eval,c017,-0.03254890441894531,-0.5502052307128906,143
4,1,eval_to_deploy,c017,0.16137313842773438,-0.7940540313720703,143
4,1,unpaired_control,c017,-0.03557395935058594,-0.5502052307128906,52
6,1,deploy_to_eval,c017,0.14594459533691406,-0.5502052307128906,143
6,1,eval_to_deploy,c017,0.10451889038085938,-0.7940540313720703,143
6,1,unpaired_control,c017,0.4819622039794922,-0.5502052307128906,52
8,1,deploy_to_eval,c017,0.21173095703125,-0.5502052307128906,143
8,1,eval_to_deploy,c017,0.1453380584716797,-0.7940540313720703,143
8,1,unpaired_control,c017,0.44101524353027344,-0.5502052307128906,52
10,1,deploy_to_eval,c017,-0.2362499237060547,-0.5502052307128906,143
10,1,eval_to_deploy,c017,0.2209320068359375,-0.7940540313720703,143
10,1,unpaired_control,c017,0.20636940002441406,-0.5502052307128906,52
12,1,deploy_to_eval,c017,-0.1757049560546875,-0.5502052307128906,143
12,1,eval_to_deploy,c017,0.26285743713378906,-0.7940540313720703,143
12,1,unpaired_control,c017,0.05538177490234375,-0.5502052307128906,52
14,1,deploy_to_eval,c017,-0.22890663146972656,-0.5502052307128906,143
14,1,eval_to_deploy,c017,0.24512863159179688,-0.7940540313720703,143
14,1,unpaired_control,c017,-0.002033233642578125,-0.5502052307128906,52
16,1,deploy_to_eval,c017,-0.28314971923828125,-0.5502052307128906,143
16,1,eval_to_deploy,c017,0.2755107879638672,-0.7940540313720703,143
16,1,unpaired_control,c017,-0.031063079833984375,-0.5502052307128906,52
18,1,deploy_to_eval,c017,-0.25905799865722656,-0.5502052307128906,143
18,1,eval_to_deploy,c017,0.2646045684814453,-0.7940540313720703,143
18,1,unpaired_control,c017,-0.09506797790527344,-0.5502052307128906,52
20,1,deploy_to_eval,c017,-0.25699615478515625,-0.5502052307128906,143
20,1,eval_to_deploy,c017,0.26036834716796875,-0.7940540313720703,143
20,1,unpaired_control,c017,-0.11382865905761719,-0.5502052307128906,52
22,1,deploy_to_eval,c017,-0.25952720642089844,-0.5502052307128906,143
