alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,12,best,c006,0.20433425903320312,0.18050003051757812,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c017,0.22500038146972656,0.015871047973632812,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c039,0.17072582244873047,0.15514183044433594,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c036,0.11732673645019531,0.10093402862548828,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c009,0.1477489471435547,0.2855691909790039,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c000,0.22761917114257812,0.07073783874511719,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c013,0.46601200103759766,-0.5167140960693359,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c049,0.3641481399536133,-0.23535633087158203,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c058,0.5036811828613281,0.0025768280029296875,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c024,0.28012943267822266,-0.05027580261230469,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c042,0.14030933380126953,-0.10140323638916016,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c047,0.3436746597290039,-0.01256561279296875,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c043,0.24973678588867188,-0.13478755950927734,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c003,0.02583599090576172,0.3021087646484375,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c041,0.32878589630126953,-0.059645652770996094,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c008,-0.027489662170410156,0.14197444915771484,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c045,0.3702239990234375,-0.3738412857055664,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c011,0.08990955352783203,0.1505298614501953,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c020,0.4277381896972656,-0.3444395065307617,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c044,0.3993501663208008,-0.49268436431884766,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c016,0.16109275817871094,0.2679004669189453,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c056,0.3449983596801758,-0.07136344909667969,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c025,0.3216094970703125,0.045528411865234375,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c029,0.10700511932373047,0.25899791717529297,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c014,0.15948009490966797,-0.2354288101196289,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c002,0.2063455581665039,0.3446664810180664,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c023,0.18869495391845703,0.19909000396728516,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c046,0.2604970932006836,0.043341636657714844,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c022,0.23304462432861328,0.19631671905517578,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c050,0.30210304260253906,-0.14265060424804688,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c006,0.12546920776367188,0.3778724670410156,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c017,0.282989501953125,-0.12757587432861328,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c039,0.13068771362304688,-0.1244516372680664,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c036,0.20922279357910156,-0.22443294525146484,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c009,0.06427860260009766,0.004818916320800781,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c000,0.07944297790527344,0.3666696548461914,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c013,0.13646984100341797,0.12610912322998047,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c049,0.15764904022216797,0.3607473373413086,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c058,0.18013477325439453,0.3809375762939453,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c024,0.1931142807006836,0.16620635986328125,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c042,0.07936573028564453,0.09667491912841797,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c047,0.2010488510131836,-0.04950714111328125,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c043,0.17717933654785156,0.09355640411376953,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c003,0.014933586120605469,0.2789335250854492,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c041,0.1782360076904297,-0.07894611358642578,0.20715449750423431,0.8566702604293823
-8.0,eval,d,12,best,c008,0.05043506622314453,-0.015204429626464844,0.20715449750423431,0.8566702604293823
