train_family,test_family,auc
explicit_direct,explicit_direct,1.0
explicit_direct,benchmark_format,0.824135802469136
explicit_direct,system_metadata,0.9436728395061729
explicit_direct,third_party_researcher,1.0
explicit_direct,subtle_exam_format,0.8517283950617283
benchmark_format,explicit_direct,0.9941666666666666
benchmark_format,benchmark_format,1.0
benchmark_format,system_metadata,0.9724074074074074
benchmark_format,third_party_researcher,0.9647222222222223
benchmark_format,subtle_exam_format,0.9687962962962963
system_metadata,explicit_direct,0.9538888888888889
system_metadata,benchmark_format,0.9385802469135803
system_metadata,system_metadata,0.9992901234567901
system_metadata,third_party_researcher,0.9367901234567901
system_metadata,subtle_exam_format,0.6090123456790124
third_party_researcher,explicit_direct,0.9990123456790124
third_party_researcher,benchmark_format,0.811141975308642
third_party_researcher,system_metadata,0.8434567901234568
third_party_researcher,third_party_researcher,1.0
third_party_researcher,subtle_exam_format,0.7187037037037037
subtle_exam_format,explicit_direct,0.9642592592592593
subtle_exam_format,benchmark_format,0.9363888888888889
subtle_exam_format,system_metadata,0.7987654320987654
subtle_exam_format,third_party_researcher,0.9135493827160495
subtle_exam_format,subtle_exam_format,1.0
