layer,held_out,auc
0,subtle_exam_format,0.9354938271604938
1,subtle_exam_format,0.8667901234567901
2,subtle_exam_format,0.9454938271604938
3,subtle_exam_format,0.9175925925925926
4,subtle_exam_format,0.8641666666666666
5,subtle_exam_format,0.8500617283950617
6,subtle_exam_format,0.903425925925926
7,subtle_exam_format,0.8970370370370371
8,subtle_exam_format,0.8809876543209877
9,subtle_exam_format,0.9309567901234567
10,subtle_exam_format,0.9149691358024692
11,subtle_exam_format,0.9428703703703705
12,subtle_exam_format,0.9173765432098766
13,subtle_exam_format,0.9252777777777776
14,subtle_exam_format,0.9545987654320989
15,subtle_exam_format,0.9377160493827159
16,subtle_exam_format,0.9259567901234568
17,subtle_exam_format,0.929567901234568
18,subtle_exam_format,0.908395061728395
19,subtle_exam_format,0.8836728395061728
20,subtle_exam_format,0.8654629629629631
21,subtle_exam_format,0.8841049382716049
22,subtle_exam_format,0.9242592592592592
23,subtle_exam_format,0.9033641975308643
