layer,cv_acc,cv_auc,test_auc
0,0.8790123456790123,0.9495987654320988,0.9114320987654322
1,0.937037037037037,0.9901543209876543,0.9529691358024691
2,0.9358024691358023,0.9888271604938271,0.9218888888888889
3,0.9617283950617284,0.9961728395061729,0.8939382716049382
4,0.9592592592592594,0.9891975308641976,0.9051419753086419
5,0.95679012345679,0.9942283950617284,0.967358024691358
6,0.9716049382716051,0.9969444444444445,0.9525432098765432
7,0.962962962962963,0.9948765432098764,0.9435679012345679
8,0.9617283950617285,0.9963580246913581,0.9163580246913581
9,0.9345679012345679,0.9820061728395062,0.8444197530864197
10,0.9395061728395062,0.9689506172839506,0.8112654320987653
11,0.9246913580246913,0.9674691358024692,0.7996481481481482
12,0.9469135802469136,0.9815123456790124,0.830604938271605
13,0.9469135802469136,0.9831481481481482,0.8100555555555555
14,0.9160493827160494,0.9715432098765431,0.7824074074074074
15,0.891358024691358,0.9398765432098767,0.7643580246913579
16,0.8641975308641975,0.9258641975308641,0.7342592592592592
17,0.8493827160493828,0.9244753086419752,0.7390123456790124
18,0.825925925925926,0.9137037037037038,0.7336790123456791
19,0.8320987654320987,0.8993209876543211,0.7480555555555557
20,0.8419753086419753,0.9021296296296297,0.7489814814814816
21,0.8629629629629628,0.9199074074074074,0.7571481481481481
22,0.8790123456790123,0.9130555555555556,0.767462962962963
23,0.8876543209876543,0.9396913580246913,0.7852037037037037
