layer,region,source,mean,lo,hi
9,full,paired,-0.25284430185953777,-0.42056854883829753,-0.0862851126988729
9,full,sameclass,-0.17931467692057293,-0.3770936409632365,0.016113111178080217
9,full,unpaired,-0.2349440892537435,-0.4622470076878865,0.017455151875813753
9,full,unpaired_eval,-0.01868718465169271,-0.2491467571258545,0.22968042850494358
9,readout,paired,-0.23463427225748698,-0.3965721384684245,-0.0699799633026123
9,readout,sameclass,-0.22882614135742188,-0.39977212270100915,-0.04968802452087404
9,readout,unpaired,-0.20728575388590495,-0.43428243160247804,0.044982258478800156
9,readout,unpaired_eval,-0.015454991658528646,-0.2677029784520467,0.25169230937957754
9,task,paired,-0.01086718241373698,-0.05244260311126709,0.03192544301350909
9,task,sameclass,0.050315475463867186,-0.05154249032338461,0.15027918338775634
9,task,unpaired,0.00787817637125651,-0.051001083056132,0.0734770854314168
9,task,unpaired_eval,0.01854248046875,-0.040745024681091306,0.09070018768310538
10,full,paired,-0.310693359375,-0.4880341863632202,-0.13938166141510014
10,full,sameclass,-0.24166062672932942,-0.43811874389648436,-0.03302257061004641
10,full,unpaired,-0.28942483266194663,-0.5357084051767985,-0.012918093999226941
10,full,unpaired_eval,-0.03934402465820312,-0.2835691944758097,0.21309214115142794
10,readout,paired,-0.2439395268758138,-0.4216565497716268,-0.0669926722844442
10,readout,sameclass,-0.2916711171468099,-0.47267334620157875,-0.10692864894866957
10,readout,unpaired,-0.23790969848632812,-0.4870141617457072,0.039478101730346674
10,readout,unpaired_eval,-0.05731754302978516,-0.31550103664398194,0.2149577061335245
10,task,paired,-0.0547271728515625,-0.10021008173624674,-0.007942239443461122
10,task,sameclass,0.039971415201822916,-0.03801863670349121,0.10738289356231685
10,task,unpaired,-0.0001639684041341146,-0.07174852848052979,0.08555618921915686
10,task,unpaired_eval,0.04330660502115886,-0.029674747784932454,0.13255692799886057
20,full,paired,-1.1242952982584635,-1.4231014966964721,-0.835186805725098
20,full,sameclass,-0.08790594736735026,-0.4587644084294637,0.3023872343699136
20,full,unpaired,-1.13835875193278,-1.4890191014607748,-0.7810209004084269
20,full,unpaired_eval,-0.011712201436360677,-0.38403289159139,0.39258359273274734
20,readout,paired,-1.1298980712890625,-1.4260177040100097,-0.844515140851339
20,readout,sameclass,-0.10004450480143229,-0.4693360805511475,0.28930721282958966
20,readout,unpaired,-1.1380671819051107,-1.4898030106226603,-0.7839257192611696
20,readout,unpaired_eval,-0.008413759867350261,-0.3819419956207275,0.3925433842341105
20,task,paired,0.002247746785481771,-0.007712206840515136,0.011513988176981606
20,task,sameclass,0.0007843017578125,-0.016732263565063476,0.01617642084757486
20,task,unpaired,0.004715347290039062,-0.012262380917867025,0.02133436520894368
20,task,unpaired_eval,-0.0005233128865559896,-0.015104985237121582,0.013913825352986643
21,full,paired,-1.1235394159952798,-1.4214385986328124,-0.8327019325892131
21,full,sameclass,-0.06915569305419922,-0.4527856477101644,0.33406735738118487
21,full,unpaired,-1.1269837061564127,-1.4738453896840413,-0.7777709086736044
21,full,unpaired_eval,0.004435984293619791,-0.3745413621266683,0.4082244030634558
21,readout,paired,-1.1266853968302408,-1.4224955320358277,-0.8365192222595216
21,readout,sameclass,-0.0777825673421224,-0.4575318988164266,0.32305834929148286
21,readout,unpaired,-1.1337814331054688,-1.4783286714553832,-0.7852777608235678
21,readout,unpaired_eval,0.0032257080078125,-0.3725569407145182,0.405984749794006
21,task,paired,0.00533440907796224,-0.0006395880381266275,0.010841749509175616
21,task,sameclass,0.006913948059082031,-0.0011087417602539062,0.014390519460042314
21,task,unpaired,0.009195709228515625,-0.0002224016189575194,0.017491874694824217
21,task,unpaired_eval,0.0004196802775065104,-0.00850504239400228,0.008931388854980469
