layer,region,source,content_id,pair,delta,a,b
9,full,paired,c000,0,-0.06962776184082031,108,0
9,readout,paired,c000,0,-0.1984577178955078,46,0
9,task,paired,c000,0,0.10629653930664062,108,46
9,full,sameclass,c000,0,0.15201950073242188,109,0
9,readout,sameclass,c000,0,-0.022020339965820312,46,0
9,task,sameclass,c000,0,0.1585540771484375,109,46
9,full,unpaired,c000,0,-0.30484771728515625,79,0
9,readout,unpaired,c000,0,-0.3290729522705078,46,0
9,task,unpaired,c000,0,0.013071060180664062,79,46
9,full,unpaired_eval,c000,0,-0.49211692810058594,79,0
9,readout,unpaired_eval,c000,0,-0.5095386505126953,46,0
9,task,unpaired_eval,c000,0,0.028837203979492188,79,46
10,full,paired,c000,0,-0.21031570434570312,108,0
10,readout,paired,c000,0,-0.32408714294433594,46,0
10,task,paired,c000,0,0.11556434631347656,108,46
10,full,sameclass,c000,0,0.3017692565917969,109,0
10,readout,sameclass,c000,0,0.1106719970703125,46,0
10,task,sameclass,c000,0,0.20324134826660156,109,46
10,full,unpaired,c000,0,-0.3838043212890625,79,0
10,readout,unpaired,c000,0,-0.49065208435058594,46,0
10,task,unpaired,c000,0,0.05875205993652344,79,46
10,full,unpaired_eval,c000,0,-0.5324783325195312,79,0
10,readout,unpaired_eval,c000,0,-0.5340538024902344,46,0
10,task,unpaired_eval,c000,0,-0.005645751953125,79,46
20,full,paired,c000,0,-0.9795970916748047,108,0
20,readout,paired,c000,0,-0.9973411560058594,46,0
20,task,paired,c000,0,0.003162384033203125,108,46
20,full,sameclass,c000,0,0.28812217712402344,109,0
20,readout,sameclass,c000,0,0.23944854736328125,46,0
20,task,sameclass,c000,0,0.06227302551269531,109,46
20,full,unpaired,c000,0,-0.832855224609375,79,0
20,readout,unpaired,c000,0,-0.8753070831298828,46,0
20,task,unpaired,c000,0,0.022115707397460938,79,46
20,full,unpaired_eval,c000,0,0.2735176086425781,79,0
20,readout,unpaired_eval,c000,0,0.28537750244140625,46,0
20,task,unpaired_eval,c000,0,-0.0010547637939453125,79,46
21,full,paired,c000,0,-0.9922103881835938,108,0
21,readout,paired,c000,0,-1.0119667053222656,46,0
21,task,paired,c000,0,0.017290115356445312,108,46
21,full,sameclass,c000,0,0.3036174774169922,109,0
21,readout,sameclass,c000,0,0.2754993438720703,46,0
21,task,sameclass,c000,0,0.03465843200683594,109,46
21,full,unpaired,c000,0,-0.8690319061279297,79,0
21,readout,unpaired,c000,0,-0.8925762176513672,46,0
21,task,unpaired,c000,0,0.011333465576171875,79,46
21,full,unpaired_eval,c000,0,0.26265525817871094,79,0
21,readout,unpaired_eval,c000,0,0.2599830627441406,46,0
21,task,unpaired_eval,c000,0,-0.0011196136474609375,79,46
9,full,paired,c002,1,0.0122222900390625,102,0
9,readout,paired,c002,1,0.057891845703125,46,0
9,task,paired,c002,1,-0.03012847900390625,102,46
9,full,sameclass,c002,1,0.20273780822753906,102,0
9,readout,sameclass,c002,1,-0.11551475524902344,46,0
9,task,sameclass,c002,1,0.3718414306640625,102,46
9,full,unpaired,c002,1,0.39853858947753906,79,0
9,readout,unpaired,c002,1,0.2903633117675781,46,0
9,task,unpaired,c002,1,0.0792999267578125,79,46
9,full,unpaired_eval,c002,1,0.7570438385009766,79,0
9,readout,unpaired_eval,c002,1,0.5815258026123047,46,0
9,task,unpaired_eval,c002,1,0.16218948364257812,79,46
