layer,framing,mean,lo,hi,n
0,eval,-0.09059902826944986,-0.12081519762674967,-0.06254124561945598,60
0,deploy,0.011741177241007487,-0.020495522816975913,0.04499752203623453,60
2,eval,-0.15606786410013834,-0.19354355176289878,-0.12068204323450724,60
2,deploy,0.21752010981241862,0.18534871737162273,0.25169453303019207,60
4,eval,-0.0663872241973877,-0.10902231733004251,-0.02269117593765259,60
4,deploy,0.14019495646158855,0.051778623660405476,0.24410862882932025,60
6,eval,-0.10066723823547363,-0.15895346840222677,-0.043482325474421185,60
6,deploy,0.3098881165186564,0.24943381865819295,0.3769126296043396,60
8,eval,-0.7383151054382324,-0.7977050332228343,-0.684189308087031,60
8,deploy,0.4631772994995117,0.37757317344347635,0.5518725021680196,60
10,eval,-0.38536473910013835,-0.4436570604642232,-0.32610471645991007,60
10,deploy,0.6056874910990397,0.4868132976690928,0.7316288538773853,60
12,eval,0.1462766170501709,0.05265278776486714,0.23681105732917784,60
12,deploy,0.14526033401489258,-0.004601052204767861,0.3120799354712167,60
14,eval,0.5573072910308838,0.4916108556588491,0.6271659843126932,60
14,deploy,-0.3151895046234131,-0.3776582678159078,-0.24653708815574646,60
16,eval,0.08777039845784505,0.05030370275179545,0.12421468297640482,60
16,deploy,0.500596284866333,0.4260354248682658,0.5730259883403778,60
18,eval,0.17551528612772624,0.14753586729367574,0.20556129773457843,60
18,deploy,-0.16127467155456543,-0.2206440556049347,-0.1071360194683075,60
20,eval,0.06193769772847493,0.04427358349164327,0.07964378436406454,60
20,deploy,-0.17746317386627197,-0.25127179006735484,-0.10637089014053346,60
22,eval,0.2181001663208008,0.16012667616208395,0.2794381952285766,60
22,deploy,-0.18956101735432943,-0.26676782906055446,-0.11974278191725414,60
24,eval,0.10174986521402994,0.046591036319732666,0.15585423350334168,60
24,deploy,-0.22144779364267986,-0.32300590018431347,-0.12723557968934376,60
26,eval,0.13558689753214517,0.08660495241483053,0.1834926466147105,60
26,deploy,-0.2819122632344564,-0.37352243045965833,-0.1996166042486827,60
28,eval,0.11795001029968262,0.08461156924565633,0.14931567509969063,60
28,deploy,-0.19658053716023763,-0.2621516321102778,-0.13676152129968014,60
30,eval,0.04278904596964518,0.02927648345629374,0.05631602088610332,60
30,deploy,-0.09784336884816487,-0.1224344434340795,-0.07398262560367584,60
31,eval,0.018971951802571614,0.0043618555863698324,0.03457146525382996,60
31,deploy,0.10049445629119873,0.06289893507957459,0.14097456693649293,60
