layer,pair,direction,content_id,delta,baseline,k
4,1,unpaired_control,c017,0.24988937377929688,0.3754692077636719,59
6,1,deploy_to_eval,c017,0.3749809265136719,0.3754692077636719,132
6,1,eval_to_deploy,c017,-0.1251850128173828,-1.8735923767089844,132
6,1,unpaired_control,c017,0.6247882843017578,0.3754692077636719,59
8,1,deploy_to_eval,c017,-0.24996376037597656,0.3754692077636719,132
8,1,eval_to_deploy,c017,0.4997577667236328,-1.8735923767089844,132
8,1,unpaired_control,c017,-0.8751430511474609,0.3754692077636719,59
10,1,deploy_to_eval,c017,-0.49987220764160156,0.3754692077636719,132
10,1,eval_to_deploy,c017,0.7497215270996094,-1.8735923767089844,132
10,1,unpaired_control,c017,-1.2499809265136719,0.3754692077636719,59
12,1,deploy_to_eval,c017,-1.8744029998779297,0.3754692077636719,132
12,1,eval_to_deploy,c017,1.8742637634277344,-1.8735923767089844,132
12,1,unpaired_control,c017,-2.1246604919433594,0.3754692077636719,59
14,1,deploy_to_eval,c017,-2.124216079711914,0.3754692077636719,132
14,1,eval_to_deploy,c017,2.124227523803711,-1.8735923767089844,132
14,1,unpaired_control,c017,-2.499540328979492,0.3754692077636719,59
16,1,deploy_to_eval,c017,-2.374032974243164,0.3754692077636719,132
16,1,eval_to_deploy,c017,2.124143600463867,-1.8735923767089844,132
16,1,unpaired_control,c017,-2.6246585845947266,0.3754692077636719,59
18,1,deploy_to_eval,c017,-2.2491321563720703,0.3754692077636719,132
18,1,eval_to_deploy,c017,2.1241798400878906,-1.8735923767089844,132
18,1,unpaired_control,c017,-2.6247005462646484,0.3754692077636719,59
20,1,deploy_to_eval,c017,-2.2491321563720703,0.3754692077636719,132
20,1,eval_to_deploy,c017,2.124174118041992,-1.8735923767089844,132
20,1,unpaired_control,c017,-2.4997177124023438,0.3754692077636719,59
22,1,deploy_to_eval,c017,-2.2491378784179688,0.3754692077636719,132
22,1,eval_to_deploy,c017,2.249095916748047,-1.8735923767089844,132
22,1,unpaired_control,c017,-2.4997215270996094,0.3754692077636719,59
24,1,deploy_to_eval,c017,-2.3740406036376953,0.3754692077636719,132
24,1,eval_to_deploy,c017,2.2491016387939453,-1.8735923767089844,132
24,1,unpaired_control,c017,-2.4997329711914062,0.3754692077636719,59
26,1,deploy_to_eval,c017,-2.3740406036376953,0.3754692077636719,132
26,1,eval_to_deploy,c017,2.1241493225097656,-1.8735923767089844,132
26,1,unpaired_control,c017,-2.4997425079345703,0.3754692077636719,59
28,1,deploy_to_eval,c017,-2.2490596771240234,0.3754692077636719,132
28,1,eval_to_deploy,c017,2.1241493225097656,-1.8735923767089844,132
28,1,unpaired_control,c017,-2.499826431274414,0.3754692077636719,59
30,1,deploy_to_eval,c017,-2.2490615844726562,0.3754692077636719,132
30,1,eval_to_deploy,c017,2.249074935913086,-1.8735923767089844,132
30,1,unpaired_control,c017,-2.374847412109375,0.3754692077636719,59
