layer,framing,alpha,content_id,delta
0,eval,-4.0,c006,-0.18724536895751953
0,eval,-4.0,c017,-0.06244659423828125
0,eval,-4.0,c039,-0.12493515014648438
0,eval,-4.0,c036,-0.0625619888305664
0,eval,-4.0,c009,0.06248950958251953
0,eval,-4.0,c000,-3.814697265625e-06
0,eval,-4.0,c013,-0.06227588653564453
0,eval,-4.0,c049,0.062445640563964844
0,eval,-4.0,c058,0.06252765655517578
0,eval,-4.0,c024,-0.1257772445678711
0,eval,-4.0,c042,-0.18749427795410156
0,eval,-4.0,c047,0.00024127960205078125
0,eval,-4.0,c043,-0.24983978271484375
0,eval,-4.0,c003,-0.06225299835205078
0,eval,-4.0,c041,-0.1250171661376953
0,eval,-4.0,c008,-1.239776611328125e-05
0,eval,-4.0,c045,-0.37467288970947266
0,eval,-4.0,c011,1.621246337890625e-05
0,eval,-4.0,c020,-0.31228065490722656
0,eval,-4.0,c044,-0.12459564208984375
0,eval,-4.0,c016,-0.12470722198486328
0,eval,-4.0,c056,-0.12492179870605469
0,eval,-4.0,c025,-0.12535476684570312
0,eval,-4.0,c029,4.291534423828125e-05
0,eval,-4.0,c014,-0.24982070922851562
0,eval,-4.0,c002,-0.12504196166992188
0,eval,-4.0,c023,-0.2500009536743164
0,eval,-4.0,c046,-0.06256294250488281
0,eval,-4.0,c022,-0.0626382827758789
0,eval,-4.0,c050,-0.12482547760009766
0,eval,-4.0,c006,-0.18756961822509766
0,eval,-4.0,c017,0.06260013580322266
0,eval,-4.0,c039,0.06250762939453125
0,eval,-4.0,c036,-0.24967193603515625
0,eval,-4.0,c009,-0.12495899200439453
0,eval,-4.0,c000,-0.062439918518066406
0,eval,-4.0,c013,-0.12499427795410156
0,eval,-4.0,c049,-4.863739013671875e-05
0,eval,-4.0,c058,-0.062478065490722656
0,eval,-4.0,c024,-0.25017738342285156
0,eval,-4.0,c042,0.062450408935546875
0,eval,-4.0,c047,-0.12479019165039062
0,eval,-4.0,c043,-0.3122825622558594
0,eval,-4.0,c003,0.062499046325683594
0,eval,-4.0,c041,-0.00010013580322265625
0,eval,-4.0,c008,0.06253719329833984
0,eval,-4.0,c045,-0.062499046325683594
0,eval,-4.0,c011,-0.000148773193359375
0,eval,-4.0,c020,-0.18752002716064453
0,eval,-4.0,c044,0.1246957778930664
0,eval,-4.0,c016,-0.12470531463623047
0,eval,-4.0,c056,-0.12491512298583984
0,eval,-4.0,c025,-0.00013256072998046875
0,eval,-4.0,c029,-0.125030517578125
0,eval,-4.0,c014,-0.06268882751464844
0,eval,-4.0,c002,-0.1875171661376953
0,eval,-4.0,c023,-0.12496566772460938
0,eval,-4.0,c046,0.062351226806640625
0,eval,-4.0,c022,-0.2501211166381836
0,eval,-4.0,c050,-0.06230449676513672
0,deploy,4.0,c006,0.12572479248046875
0,deploy,4.0,c017,8.106231689453125e-05
0,deploy,4.0,c039,0.062485694885253906
0,deploy,4.0,c036,0.0625448226928711
0,deploy,4.0,c009,0.31249332427978516
0,deploy,4.0,c000,-0.06193828582763672
0,deploy,4.0,c013,0.06260490417480469
0,deploy,4.0,c049,0.06245899200439453
0,deploy,4.0,c058,-0.06250858306884766
0,deploy,4.0,c024,0.06255912780761719
0,deploy,4.0,c042,0.06402206420898438
0,deploy,4.0,c047,0.06246376037597656
0,deploy,4.0,c043,-0.00026607513427734375
0,deploy,4.0,c003,-0.2474527359008789
0,deploy,4.0,c041,3.910064697265625e-05
0,deploy,4.0,c008,-0.12500762939453125
0,deploy,4.0,c045,-0.24991321563720703
0,deploy,4.0,c011,0.06325149536132812
0,deploy,4.0,c020,0.00041484832763671875
0,deploy,4.0,c044,0.12491321563720703
0,deploy,4.0,c016,0.0002841949462890625
0,deploy,4.0,c056,0.062323570251464844
0,deploy,4.0,c025,0.0003414154052734375
0,deploy,4.0,c029,0.18731975555419922
