alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,4,best,c050,0.4998941421508789,-0.06219959259033203,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c006,-0.3751039505004883,-0.3114032745361328,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c017,0.43718624114990234,-0.18700313568115234,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c039,-0.1873941421508789,0.43746376037597656,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c036,0.4372997283935547,0.0003643035888671875,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c009,-1.1874113082885742,0.06252574920654297,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c000,-0.3125944137573242,0.00043773651123046875,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c013,-0.4376363754272461,0.0001430511474609375,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c049,-0.7498130798339844,-0.6875238418579102,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c058,-1.1248350143432617,0.06242179870605469,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c024,0.9369325637817383,-0.6843738555908203,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c042,-0.8749732971191406,-0.6872024536132812,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c047,0.8746709823608398,-0.062313079833984375,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c043,0.9996442794799805,0.0005102157592773438,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c003,-0.7500495910644531,-0.4365348815917969,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c041,0.8748016357421875,-0.18739032745361328,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c008,-0.6874094009399414,-0.12487125396728516,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c045,0.12489509582519531,-0.062142372131347656,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c011,-0.9999513626098633,-0.49974918365478516,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c020,-0.06266117095947266,-0.5620613098144531,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c044,-0.5001640319824219,-0.12457847595214844,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c016,0.12481021881103516,-0.9365444183349609,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c056,-0.2501821517944336,-0.31214046478271484,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c025,-0.6253147125244141,-0.12411212921142578,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c029,0.5623989105224609,0.24997997283935547,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c014,-1.2498159408569336,-0.5623798370361328,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c002,-0.1250295639038086,0.1252307891845703,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c023,0.3748140335083008,-0.4999217987060547,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c046,0.8748683929443359,0.00017833709716796875,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c022,0.9997339248657227,-0.4373798370361328,0.024864960461854935,0.7547118067741394
-8.0,eval,d,4,best,c050,-0.12499046325683594,-0.12436580657958984,0.024864960461854935,0.7547118067741394
-8.0,deploy,d,4,best,c006,-1.8743810653686523,-0.4329366683959961,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c017,-1.624842643737793,-0.3745269775390625,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c039,-2.062363624572754,-0.4998779296875,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c036,-0.25051403045654297,-0.12466621398925781,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c009,-3.312288284301758,-0.2499980926513672,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c000,-1.7500114440917969,-0.49834537506103516,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c013,-0.8129434585571289,-0.1870584487915039,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c049,-2.999492645263672,0.18731117248535156,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c058,-1.9998760223388672,0.7498464584350586,0.02691396325826645,0.6529683470726013
-8.0,deploy,d,4,best,c024,-0.7499818801879883,-0.4353208541870117,0.02691396325826645,0.6529683470726013
