layer,cos,cos_neutral,cos_style_neutral
0,0.5487641096115112,0.707888126373291,0.06793855875730515
1,0.7386374473571777,0.7561946511268616,0.4989805221557617
2,0.7231825590133667,0.7287615537643433,0.5422762036323547
3,0.7581273317337036,0.7092353701591492,0.533351719379425
4,0.7095383405685425,0.374715119600296,0.21509423851966858
5,0.5184735059738159,0.35984814167022705,0.04047638177871704
6,0.4896944761276245,0.3697071075439453,0.053972337394952774
7,0.5248429775238037,0.35553833842277527,0.1053648591041565
8,0.5392282009124756,0.324273020029068,0.08663155883550644
9,0.6091613173484802,0.23707397282123566,0.07978406548500061
10,0.6602964997291565,0.29517507553100586,0.1606692373752594
11,0.6474049091339111,0.21038545668125153,0.039679113775491714
12,0.6720978021621704,0.28079813718795776,0.13548438251018524
13,0.6480373740196228,0.3105168342590332,0.18466752767562866
14,0.5670483112335205,0.2851314842700958,0.18246182799339294
15,0.5579248070716858,0.13865435123443604,0.15806329250335693
16,0.5275915861129761,0.16111010313034058,0.1252671182155609
17,0.5565407276153564,0.1888675093650818,0.16454800963401794
18,0.5495713949203491,0.17620813846588135,0.1537533402442932
19,0.5704953074455261,0.17417162656784058,0.1787509173154831
20,0.5337790250778198,0.21190349757671356,0.20411637425422668
21,0.45333343744277954,0.18386492133140564,0.19401682913303375
22,0.45902228355407715,0.16929705440998077,0.16415157914161682
23,0.48640984296798706,0.21855324506759644,0.23294615745544434
