layer,held_out,auc
0,subtle_exam_format,0.9412037037037037
1,subtle_exam_format,0.943425925925926
2,subtle_exam_format,0.9946296296296296
3,subtle_exam_format,0.9666049382716049
4,subtle_exam_format,0.9925617283950618
5,subtle_exam_format,0.9945061728395062
6,subtle_exam_format,0.9892901234567901
7,subtle_exam_format,0.9731172839506173
8,subtle_exam_format,0.9845370370370371
9,subtle_exam_format,0.9960493827160494
10,subtle_exam_format,0.9937654320987654
11,subtle_exam_format,0.9834259259259259
12,subtle_exam_format,0.9864197530864197
13,subtle_exam_format,0.986820987654321
14,subtle_exam_format,0.9690740740740742
15,subtle_exam_format,0.9812345679012346
16,subtle_exam_format,0.974537037037037
17,subtle_exam_format,0.9691975308641976
18,subtle_exam_format,0.9271296296296296
19,subtle_exam_format,0.9170679012345678
20,subtle_exam_format,0.9365740740740741
21,subtle_exam_format,0.9458950617283951
22,subtle_exam_format,0.9305864197530864
23,subtle_exam_format,0.9237345679012345
24,subtle_exam_format,0.925246913580247
25,subtle_exam_format,0.916141975308642
26,subtle_exam_format,0.9217283950617284
27,subtle_exam_format,0.9127777777777778
