layer,cv_acc,cv_auc,test_auc
0,0.9469135802469136,0.9875617283950617,0.9330864197530864
1,0.9679012345679012,0.9981172839506172,0.9552716049382717
2,0.9938271604938272,0.9998456790123458,0.9555740740740741
3,0.9703703703703704,0.9961111111111112,0.9437716049382715
4,0.9703703703703704,0.996172839506173,0.9338518518518519
5,0.9777777777777776,0.9978703703703704,0.9319074074074075
6,0.9864197530864198,0.9976543209876543,0.9313641975308641
7,0.9901234567901234,0.9981172839506172,0.933104938271605
8,0.9777777777777776,0.9976851851851851,0.9257777777777778
9,0.9839506172839506,0.9985493827160493,0.9260123456790124
10,0.9802469135802468,0.9994135802469136,0.9290432098765433
11,0.9716049382716049,0.9906481481481482,0.9404938271604938
12,0.9654320987654321,0.9876851851851851,0.933530864197531
13,0.9691358024691358,0.9958641975308641,0.9192469135802469
14,0.951851851851852,0.9748148148148147,0.8914567901234567
15,0.9555555555555555,0.976574074074074,0.8948888888888888
16,0.9580246913580247,0.9884876543209877,0.8587222222222224
17,0.9666666666666666,0.9956172839506173,0.8821666666666667
18,0.9728395061728395,0.9955864197530865,0.8493765432098764
19,0.94320987654321,0.9933641975308642,0.8561049382716049
20,0.8493827160493828,0.9588580246913582,0.828067901234568
21,0.8098765432098766,0.9284259259259258,0.8029259259259259
22,0.7901234567901234,0.9170987654320989,0.8107160493827161
23,0.8209876543209876,0.9493518518518519,0.8071234567901235
24,0.8432098765432098,0.9414814814814815,0.8233024691358024
25,0.8506172839506172,0.8995987654320988,0.7890493827160494
26,0.84320987654321,0.9208333333333332,0.7761296296296297
27,0.880246913580247,0.9362345679012346,0.7660617283950617
