layer,region,source,content_id,pair,delta,a,b
12,full,paired,c000,0,-1.8750934600830078,108,0
12,readout,paired,c000,0,-1.6250534057617188,46,0
12,task,paired,c000,0,-0.9998664855957031,108,46
12,full,sameclass,c000,0,-1.5000762939453125,109,0
12,readout,sameclass,c000,0,-0.8750667572021484,46,0
12,task,sameclass,c000,0,-1.0000572204589844,109,46
12,full,unpaired,c000,0,-0.24986839294433594,79,0
12,readout,unpaired,c000,0,-0.6243381500244141,46,0
12,task,unpaired,c000,0,-0.75,79,46
12,full,unpaired_eval,c000,0,0.8749046325683594,79,0
12,readout,unpaired_eval,c000,0,0.24990463256835938,46,0
12,task,unpaired_eval,c000,0,-4.1961669921875e-05,79,46
26,full,paired,c000,0,-3.3750743865966797,108,0
26,readout,paired,c000,0,-3.375072479248047,46,0
26,task,paired,c000,0,-0.24996185302734375,108,46
26,full,sameclass,c000,0,-1.3750286102294922,109,0
26,readout,sameclass,c000,0,-1.1250457763671875,46,0
26,task,sameclass,c000,0,-0.24997901916503906,109,46
26,full,unpaired,c000,0,-1.7498435974121094,79,0
26,readout,unpaired,c000,0,-1.7498435974121094,46,0
26,task,unpaired,c000,0,-0.24998092651367188,79,46
26,full,unpaired_eval,c000,0,0.4998970031738281,79,0
26,readout,unpaired_eval,c000,0,0.4998931884765625,46,0
26,task,unpaired_eval,c000,0,-0.125,79,46
12,full,paired,c002,1,-1.3748626708984375,102,0
12,readout,paired,c002,1,-0.4999656677246094,46,0
12,task,paired,c002,1,-0.37500953674316406,102,46
12,full,sameclass,c002,1,-0.3750114440917969,102,0
12,readout,sameclass,c002,1,0.6249866485595703,46,0
12,task,sameclass,c002,1,-1.1249885559082031,102,46
12,full,unpaired,c002,1,-1.7499866485595703,79,0
12,readout,unpaired,c002,1,-1.8749675750732422,46,0
12,task,unpaired,c002,1,0.12498664855957031,79,46
12,full,unpaired_eval,c002,1,-1.1249713897705078,79,0
12,readout,unpaired_eval,c002,1,-1.3749637603759766,46,0
12,task,unpaired_eval,c002,1,-0.24999618530273438,79,46
26,full,paired,c002,1,-1.8747692108154297,102,0
26,readout,paired,c002,1,-1.7497997283935547,46,0
26,task,paired,c002,1,0.12499237060546875,102,46
26,full,sameclass,c002,1,-0.3749980926513672,102,0
26,readout,sameclass,c002,1,-0.49999046325683594,46,0
26,task,sameclass,c002,1,0.12499046325683594,102,46
26,full,unpaired,c002,1,-4.624921798706055,79,0
26,readout,unpaired,c002,1,-4.4999542236328125,46,0
26,task,unpaired,c002,1,-0.12499618530273438,79,46
26,full,unpaired_eval,c002,1,-2.6249141693115234,79,0
26,readout,unpaired_eval,c002,1,-2.4999141693115234,46,0
26,task,unpaired_eval,c002,1,0.25,79,46
12,full,paired,c003,2,0.8749847412109375,105,0
12,readout,paired,c003,2,0.7500057220458984,46,0
12,task,paired,c003,2,0.12499046325683594,105,46
12,full,sameclass,c003,2,0.6249179840087891,107,0
12,readout,sameclass,c003,2,0.2499256134033203,46,0
12,task,sameclass,c003,2,0.375,107,46
12,full,unpaired,c003,2,-0.1250133514404297,79,0
12,readout,unpaired,c003,2,0.12511444091796875,46,0
12,task,unpaired,c003,2,0.24995040893554688,79,46
12,full,unpaired_eval,c003,2,1.7499809265136719,79,0
12,readout,unpaired_eval,c003,2,1.6249446868896484,46,0
12,task,unpaired_eval,c003,2,0.5000495910644531,79,46
26,full,paired,c003,2,-2.0000076293945312,105,0
26,readout,paired,c003,2,-1.8750324249267578,46,0
26,task,paired,c003,2,0.12498664855957031,105,46
26,full,sameclass,c003,2,1.1249141693115234,107,0
26,readout,sameclass,c003,2,1.2499103546142578,46,0
26,task,sameclass,c003,2,0.12498664855957031,107,46
26,full,unpaired,c003,2,-1.4999923706054688,79,0
26,readout,unpaired,c003,2,-1.3750038146972656,46,0
26,task,unpaired,c003,2,0.12498664855957031,79,46
26,full,unpaired_eval,c003,2,2.2499332427978516,79,0
26,readout,unpaired_eval,c003,2,2.2499332427978516,46,0
26,task,unpaired_eval,c003,2,0.12498664855957031,79,46
12,full,paired,c006,3,-1.2499961853027344,123,0
12,readout,paired,c006,3,-1.2499618530273438,46,0
12,task,paired,c006,3,0.12498855590820312,123,46
