layer,region,effect,mean,lo,hi
12,full,class,-0.5188965161641439,-0.9127443877855937,-0.12936700264612833
12,full,content,0.3812668800354004,-0.12892040411631267,0.8876022338867184
12,readout,class,-0.3394165356953939,-0.7454056223233541,0.050441866715748886
12,readout,content,0.3773205757141113,-0.08127328952153523,0.8416629378000894
12,task,class,-0.16255334218343098,-0.3625191513697306,0.02287853320439656
12,task,content,0.20827534993489583,-0.025035454432169597,0.435350456237793
26,full,class,-2.4210219383239746,-2.992040580113729,-1.8771418666839608
26,full,content,0.49993181228637695,-0.30007051865259804,1.2812317426999407
26,readout,class,-2.3689390818277993,-2.9356870015462238,-1.8167453432083134
26,readout,content,0.47699209849039714,-0.3377771973609924,1.2792867223421727
26,task,class,0.010407543182373047,-0.020840529600779215,0.04165652751922607
26,task,content,-0.022922356923421223,-0.08334072589874267,0.03540656328201294
