layer,region,source,mean,lo,hi
12,full,paired,-0.6916655858357748,-1.2001898940404256,-0.21678223292032878
12,full,sameclass,-0.22052396138509114,-0.9035846996307373,0.4548562939961745
12,full,unpaired,-0.35815359751383463,-0.9498181422551473,0.19192902088165226
12,full,unpaired_eval,0.20849781036376952,-0.31253515084584554,0.7043185122807816
12,readout,paired,-0.5623559951782227,-1.058481969833374,-0.07888995170593319
12,readout,sameclass,-0.2539759318033854,-0.7291006851196289,0.23382042725880883
12,readout,unpaired,-0.21607189178466796,-0.7374203872680664,0.2876527690887445
12,readout,unpaired_eval,0.15438111623128256,-0.3500599114100138,0.6464264408747349
12,task,paired,-0.36253007253011066,-0.5876330566406249,-0.14168535709381103
12,task,sameclass,-0.13329245249430338,-0.49583868503570555,0.2166388257344564
12,task,unpaired,-0.08757044474283854,-0.28751116116841635,0.12495107173919677
12,task,unpaired_eval,0.008298619588216146,-0.21667436758677167,0.22926251411437934
26,full,paired,-2.8959371566772463,-3.812503145535787,-2.021108822822571
26,full,sameclass,-0.966511344909668,-1.94592738310496,-0.04130128860473743
26,full,unpaired,-2.8876014709472657,-3.8335373640060424,-1.9751518710454306
26,full,unpaired_eval,0.025016593933105468,-0.8499328247706095,0.9002108987172432
26,readout,paired,-2.8542727788289386,-3.779188741048177,-1.97094695409139
26,readout,sameclass,-0.9331631978352865,-1.9211262845993042,0.004024767875671354
26,readout,unpaired,-2.825110181172689,-3.766708377202352,-1.9415732622146618
26,readout,unpaired_eval,-0.008341598510742187,-0.8749408674240112,0.8457078822453816
26,task,paired,0.016671371459960938,-0.020835121472676597,0.05416676680246989
26,task,sameclass,-0.020829264322916666,-0.06262067159016926,0.025001595815022787
26,task,unpaired,-0.033344078063964847,-0.10417466958363851,0.041656080881754556
26,task,unpaired_eval,-0.016658528645833334,-0.09583550612131755,0.06252245585123697
