layer,region,source,content_id,pair,delta,a,b
9,task,paired,c008,4,-0.12171554565429688,73,46
9,full,sameclass,c008,4,0.3578166961669922,73,0
9,readout,sameclass,c008,4,0.2224140167236328,46,0
9,task,sameclass,c008,4,0.06160926818847656,73,46
9,full,unpaired,c008,4,0.0080413818359375,60,0
9,readout,unpaired,c008,4,0.1074676513671875,46,0
9,task,unpaired,c008,4,-0.12192153930664062,60,46
9,full,unpaired_eval,c008,4,0.26403236389160156,60,0
9,readout,unpaired_eval,c008,4,0.27747344970703125,46,0
9,task,unpaired_eval,c008,4,-0.049365997314453125,60,46
22,full,paired,c008,4,-0.5479507446289062,73,0
22,readout,paired,c008,4,-0.5455760955810547,46,0
22,task,paired,c008,4,-0.0019626617431640625,73,46
22,full,sameclass,c008,4,1.2410030364990234,73,0
22,readout,sameclass,c008,4,1.2361679077148438,46,0
22,task,sameclass,c008,4,0.00042724609375,73,46
22,full,unpaired,c008,4,-0.013448715209960938,60,0
22,readout,unpaired,c008,4,-0.0003795623779296875,46,0
22,task,unpaired,c008,4,-0.014585494995117188,60,46
22,full,unpaired_eval,c008,4,0.009382247924804688,60,0
22,readout,unpaired_eval,c008,4,0.019945144653320312,46,0
22,task,unpaired_eval,c008,4,-0.0124969482421875,60,46
9,full,paired,c009,5,-0.1863727569580078,72,0
9,readout,paired,c009,5,-0.17856216430664062,46,0
9,task,paired,c009,5,-0.043247222900390625,72,46
9,full,sameclass,c009,5,-0.2552909851074219,73,0
9,readout,sameclass,c009,5,-0.2795543670654297,46,0
9,task,sameclass,c009,5,-8.0108642578125e-05,73,46
9,full,unpaired,c009,5,0.300384521484375,59,0
9,readout,unpaired,c009,5,0.31169891357421875,46,0
9,task,unpaired,c009,5,-0.17108917236328125,59,46
9,full,unpaired_eval,c009,5,-0.049907684326171875,59,0
9,readout,unpaired_eval,c009,5,0.20000648498535156,46,0
9,task,unpaired_eval,c009,5,-0.3235645294189453,59,46
22,full,paired,c009,5,-0.017236709594726562,72,0
22,readout,paired,c009,5,-0.009744644165039062,46,0
22,task,paired,c009,5,-0.009042739868164062,72,46
22,full,sameclass,c009,5,0.5314311981201172,73,0
22,readout,sameclass,c009,5,0.536895751953125,46,0
22,task,sameclass,c009,5,-0.0050106048583984375,73,46
22,full,unpaired,c009,5,0.36345481872558594,59,0
22,readout,unpaired,c009,5,0.3620643615722656,46,0
22,task,unpaired,c009,5,-0.0020008087158203125,59,46
22,full,unpaired_eval,c009,5,-0.5133876800537109,59,0
22,readout,unpaired_eval,c009,5,-0.5172309875488281,46,0
22,task,unpaired_eval,c009,5,-0.0006961822509765625,59,46
9,full,paired,c011,6,0.802764892578125,124,0
9,readout,paired,c011,6,0.3713569641113281,46,0
9,task,paired,c011,6,0.42955970764160156,124,46
9,full,sameclass,c011,6,0.11350250244140625,125,0
9,readout,sameclass,c011,6,-0.138946533203125,46,0
9,task,sameclass,c011,6,0.2836132049560547,125,46
9,full,unpaired,c011,6,0.7992076873779297,79,0
9,readout,unpaired,c011,6,0.4820880889892578,46,0
9,task,unpaired,c011,6,0.2783679962158203,79,46
9,full,unpaired_eval,c011,6,0.458892822265625,79,0
9,readout,unpaired_eval,c011,6,0.06580734252929688,46,0
9,task,unpaired_eval,c011,6,0.34894371032714844,79,46
22,full,paired,c011,6,0.8729801177978516,124,0
22,readout,paired,c011,6,0.8738784790039062,46,0
22,task,paired,c011,6,-0.001079559326171875,124,46
22,full,sameclass,c011,6,0.1917095184326172,125,0
22,readout,sameclass,c011,6,0.19577407836914062,46,0
22,task,sameclass,c011,6,-0.004337310791015625,125,46
22,full,unpaired,c011,6,0.8442649841308594,79,0
22,readout,unpaired,c011,6,0.8424854278564453,46,0
22,task,unpaired,c011,6,0.0018138885498046875,79,46
22,full,unpaired_eval,c011,6,0.8181381225585938,79,0
22,readout,unpaired_eval,c011,6,0.8286933898925781,46,0
22,task,unpaired_eval,c011,6,-0.009990692138671875,79,46
9,full,paired,c013,7,0.24699020385742188,122,0
9,readout,paired,c013,7,0.1945171356201172,46,0
9,task,paired,c013,7,0.008749008178710938,122,46
9,full,sameclass,c013,7,0.1135406494140625,122,0
9,readout,sameclass,c013,7,-0.05551719665527344,46,0
9,task,sameclass,c013,7,0.2380847930908203,122,46
9,full,unpaired,c013,7,-0.13869857788085938,79,0
9,readout,unpaired,c013,7,-0.00641632080078125,46,0
9,task,unpaired,c013,7,-0.14264678955078125,79,46
9,full,unpaired_eval,c013,7,0.08878517150878906,59,0
9,readout,unpaired_eval,c013,7,-0.0374755859375,46,0
9,task,unpaired_eval,c013,7,0.46959686279296875,59,46
22,full,paired,c013,7,0.028034210205078125,122,0
22,readout,paired,c013,7,0.016908645629882812,46,0
22,task,paired,c013,7,0.012964248657226562,122,46
22,full,sameclass,c013,7,-0.15557479858398438,122,0
22,readout,sameclass,c013,7,-0.1691722869873047,46,0
22,task,sameclass,c013,7,0.014581680297851562,122,46
22,full,unpaired,c013,7,-0.4695396423339844,79,0
22,readout,unpaired,c013,7,-0.4830951690673828,46,0
22,task,unpaired,c013,7,0.01483917236328125,79,46
22,full,unpaired_eval,c013,7,-0.7609081268310547,59,0
22,readout,unpaired_eval,c013,7,-0.7672843933105469,46,0
22,task,unpaired_eval,c013,7,0.010175704956054688,59,46
9,full,paired,c014,8,-0.024988174438476562,59,0
9,readout,paired,c014,8,0.30828094482421875,46,0
9,task,paired,c014,8,-0.07668876647949219,59,46
9,full,sameclass,c014,8,0.5528659820556641,59,0
9,readout,sameclass,c014,8,0.5122451782226562,46,0
9,task,sameclass,c014,8,0.09650802612304688,59,46
9,full,unpaired,c014,8,0.1943492889404297,59,0
9,readout,unpaired,c014,8,0.3750724792480469,46,0
9,task,unpaired,c014,8,0.06531333923339844,59,46
9,full,unpaired_eval,c014,8,0.11185073852539062,59,0
9,readout,unpaired_eval,c014,8,0.2230224609375,46,0
9,task,unpaired_eval,c014,8,0.10346603393554688,59,46
22,full,paired,c014,8,0.3008270263671875,59,0
22,readout,paired,c014,8,0.3065643310546875,46,0
22,task,paired,c014,8,-0.0037174224853515625,59,46
22,full,sameclass,c014,8,1.9873924255371094,59,0
22,readout,sameclass,c014,8,1.9892234802246094,46,0
22,task,sameclass,c014,8,-0.002704620361328125,59,46
22,full,unpaired,c014,8,0.5710372924804688,59,0
22,readout,unpaired,c014,8,0.5773143768310547,46,0
22,task,unpaired,c014,8,-0.0077075958251953125,59,46
22,full,unpaired_eval,c014,8,0.6318740844726562,59,0
22,readout,unpaired_eval,c014,8,0.6332530975341797,46,0
22,task,unpaired_eval,c014,8,-0.0038242340087890625,59,46
9,full,paired,c016,9,0.03872871398925781,112,0
9,readout,paired,c016,9,0.1631317138671875,46,0
9,task,paired,c016,9,-0.11455535888671875,112,46
9,full,sameclass,c016,9,-0.09944915771484375,112,0
9,readout,sameclass,c016,9,0.32624244689941406,46,0
9,task,sameclass,c016,9,-0.3453388214111328,112,46
9,full,unpaired,c016,9,0.161651611328125,79,0
9,readout,unpaired,c016,9,0.14463043212890625,46,0
9,task,unpaired,c016,9,0.04271888732910156,79,46
9,full,unpaired_eval,c016,9,0.3491020202636719,79,0
9,readout,unpaired_eval,c016,9,0.10526084899902344,46,0
9,task,unpaired_eval,c016,9,0.19530868530273438,79,46
22,full,paired,c016,9,-0.06678199768066406,112,0
22,readout,paired,c016,9,-0.05623054504394531,46,0
22,task,paired,c016,9,-0.013132095336914062,112,46
22,full,sameclass,c016,9,0.04613494873046875,112,0
22,readout,sameclass,c016,9,0.03820228576660156,46,0
22,task,sameclass,c016,9,0.00933837890625,112,46
22,full,unpaired,c016,9,0.3898773193359375,79,0
22,readout,unpaired,c016,9,0.3905029296875,46,0
22,task,unpaired,c016,9,-0.001796722412109375,79,46
22,full,unpaired_eval,c016,9,0.8158912658691406,79,0
22,readout,unpaired_eval,c016,9,0.8199653625488281,46,0
22,task,unpaired_eval,c016,9,-0.00534820556640625,79,46
9,full,paired,c017,10,-0.04849815368652344,142,0
9,readout,paired,c017,10,0.0077362060546875,46,0
9,task,paired,c017,10,-0.026144027709960938,142,46
9,full,sameclass,c017,10,-0.22951126098632812,144,0
9,readout,sameclass,c017,10,0.4004230499267578,46,0
9,task,sameclass,c017,10,-0.6261558532714844,144,46
9,full,unpaired,c017,10,-0.22591400146484375,79,0
9,readout,unpaired,c017,10,-0.09214591979980469,46,0
9,task,unpaired,c017,10,-0.11567497253417969,79,46
9,full,unpaired_eval,c017,10,-0.5154590606689453,59,0
9,readout,unpaired_eval,c017,10,-0.3293609619140625,46,0
9,task,unpaired_eval,c017,10,0.13323020935058594,59,46
22,full,paired,c017,10,-0.4248485565185547,142,0
22,readout,paired,c017,10,-0.429718017578125,46,0
22,task,paired,c017,10,0.0044841766357421875,142,46
22,full,sameclass,c017,10,0.2395038604736328,144,0
22,readout,sameclass,c017,10,0.23792648315429688,46,0
22,task,sameclass,c017,10,0.000972747802734375,144,46
22,full,unpaired,c017,10,-0.9950942993164062,79,0
22,readout,unpaired,c017,10,-0.9826412200927734,46,0
22,task,unpaired,c017,10,-0.01318359375,79,46
22,full,unpaired_eval,c017,10,-1.6087493896484375,59,0
22,readout,unpaired_eval,c017,10,-1.6105232238769531,46,0
22,task,unpaired_eval,c017,10,0.00278472900390625,59,46
9,full,paired,c020,11,0.15670013427734375,59,0
9,readout,paired,c020,11,0.30783843994140625,46,0
9,task,paired,c020,11,0.06380844116210938,59,46
9,full,sameclass,c020,11,0.07928466796875,59,0
9,readout,sameclass,c020,11,0.13625335693359375,46,0
9,task,sameclass,c020,11,0.10410308837890625,59,46
9,full,unpaired,c020,11,0.28906822204589844,59,0
9,readout,unpaired,c020,11,0.4982452392578125,46,0
9,task,unpaired,c020,11,0.06378173828125,59,46
9,full,unpaired_eval,c020,11,0.08525276184082031,59,0
9,readout,unpaired_eval,c020,11,0.22942161560058594,46,0
9,task,unpaired_eval,c020,11,0.05187034606933594,59,46
22,full,paired,c020,11,0.6158008575439453,59,0
22,readout,paired,c020,11,0.6222801208496094,46,0
22,task,paired,c020,11,-0.0055446624755859375,59,46
22,full,sameclass,c020,11,0.6376686096191406,59,0
22,readout,sameclass,c020,11,0.640472412109375,46,0
22,task,sameclass,c020,11,0.00046539306640625,59,46
22,full,unpaired,c020,11,0.39638519287109375,59,0
22,readout,unpaired,c020,11,0.40204429626464844,46,0
22,task,unpaired,c020,11,-0.0054531097412109375,59,46
22,full,unpaired_eval,c020,11,0.8328418731689453,59,0
22,readout,unpaired_eval,c020,11,0.8379707336425781,46,0
22,task,unpaired_eval,c020,11,-0.004848480224609375,59,46
9,full,paired,c022,12,-0.009656906127929688,106,0
9,readout,paired,c022,12,0.20900726318359375,46,0
9,task,paired,c022,12,-0.1939678192138672,106,46
9,full,sameclass,c022,12,0.18387985229492188,107,0
9,readout,sameclass,c022,12,-0.014093399047851562,46,0
9,task,sameclass,c022,12,0.07152557373046875,107,46
9,full,unpaired,c022,12,-0.2755317687988281,79,0
9,readout,unpaired,c022,12,-0.06579971313476562,46,0
9,task,unpaired,c022,12,-0.22191238403320312,79,46
9,full,unpaired_eval,c022,12,-0.5767955780029297,79,0
9,readout,unpaired_eval,c022,12,-0.19742584228515625,46,0
9,task,unpaired_eval,c022,12,-0.3366432189941406,79,46
