layer,region,effect,mean,lo,hi
9,full,class,-0.045247586568196614,-0.1452854069073995,0.054040722052256164
9,full,content,0.06366825103759766,-0.06118846257527669,0.19257323106129948
9,readout,class,-0.07515859603881836,-0.15458459456761678,0.011549355983734112
9,readout,content,0.05069780349731445,-0.04020926237106323,0.1435142548878987
9,task,class,0.024248441060384113,-0.0342120083173116,0.08253464539845783
9,task,content,0.04087835947672526,-0.05111994902292887,0.13289523919423415
22,full,class,-0.31879523595174153,-0.47437304496765137,-0.17071941137313848
22,full,content,-0.07316096623738606,-0.2544989816347758,0.1339263447125752
22,readout,class,-0.3170689900716146,-0.4723016341527303,-0.17036744276682542
22,readout,content,-0.07228546142578125,-0.2531788794199626,0.13487171649932858
22,task,class,-0.0016102155049641928,-0.003229495684305827,-6.847937901814862e-05
22,task,content,-0.0010053316752115886,-0.0030367016792297364,0.0011936330795288064
