layer,region,source,mean,lo,hi
9,full,paired,-0.08172454833984374,-0.2231776237487793,0.06473681926727282
9,full,sameclass,-0.08820826212565104,-0.25003999869028726,0.06854646682739246
9,full,unpaired,-0.06978759765625,-0.21844242413838705,0.07921772797902411
9,full,unpaired_eval,0.027191289265950522,-0.09272260348002116,0.15257393995920804
9,readout,paired,-0.12485370635986329,-0.25847641309102376,0.0056374422709146435
9,readout,sameclass,-0.07355868021647136,-0.1931848112742106,0.04658565521240233
9,readout,unpaired,-0.09801947275797526,-0.24641421794891358,0.039643764495849505
9,readout,unpaired_eval,0.0010026931762695313,-0.11022420247395832,0.10824734846750894
9,task,paired,0.05946954091389974,-0.008331271807352702,0.13071040789286287
9,task,sameclass,-0.014435895284016927,-0.12860371589660646,0.09944716294606523
9,task,unpaired,0.05069090525309245,-0.0034721008936564124,0.1034263261159261
9,task,unpaired_eval,0.07609945933024088,0.003694217999776204,0.15469476222991937
22,full,paired,-0.24676825205485026,-0.4432837502161662,-0.048230320612589896
22,full,sameclass,0.14648272196451823,-0.11035712560017903,0.4344995530446362
22,full,unpaired,-0.24547348022460938,-0.4554527870814005,-0.03763804594675739
22,full,unpaired_eval,-0.0011339823404947916,-0.25682525952657065,0.26195069789886455
22,readout,paired,-0.2448539098103841,-0.4421452522277832,-0.04609144210815474
22,readout,sameclass,0.14439951578776042,-0.11457348982493083,0.4325833400090528
22,readout,unpaired,-0.24495493570963542,-0.4540940316518148,-0.036703276634216686
22,readout,unpaired_eval,-7.038116455078125e-05,-0.2579237047831217,0.2649580891927082
22,task,paired,-0.001914215087890625,-0.0041656494140625,0.00034220695495605315
22,task,sameclass,0.0018575668334960937,-0.0010814555486043293,0.0044594701131184895
22,task,unpaired,-0.0007579803466796875,-0.003467842737833659,0.0018513806660970021
22,task,unpaired_eval,-0.0013093312581380209,-0.0038624922434488933,0.0016424417495727525
