layer,cos,cos_neutral,cos_style_neutral
0,0.5083878040313721,0.8825423121452332,0.43891745805740356
1,0.5137054920196533,0.798886775970459,0.389129102230072
2,0.6319283246994019,0.731081485748291,0.4866199493408203
3,0.6747397184371948,0.7119701504707336,0.5048195123672485
4,0.7116907835006714,0.659313440322876,0.5108248591423035
5,0.63591468334198,0.638339638710022,0.4316842555999756
6,0.6162455081939697,0.5452216863632202,0.36980944871902466
7,0.607826828956604,0.48333483934402466,0.355815052986145
8,0.5805307626724243,0.35706162452697754,0.26108458638191223
9,0.5624480247497559,0.3842625617980957,0.28723251819610596
10,0.6449580192565918,0.45813992619514465,0.45639753341674805
11,0.663743257522583,0.46259474754333496,0.45929813385009766
12,0.5995633602142334,0.39163869619369507,0.3843642473220825
13,0.45587533712387085,0.3102932572364807,0.3531138002872467
14,0.4749554693698883,0.39451515674591064,0.3307470679283142
15,0.5032303929328918,0.41792774200439453,0.34356361627578735
16,0.5206777453422546,0.4350596070289612,0.31965482234954834
17,0.5343867540359497,0.44026315212249756,0.28795287013053894
18,0.49488794803619385,0.4232740104198456,0.2288215160369873
19,0.46437129378318787,0.40625837445259094,0.19152410328388214
20,0.4878513514995575,0.37692368030548096,0.16284805536270142
21,0.483287513256073,0.39943981170654297,0.17639224231243134
22,0.5270159244537354,0.42168864607810974,0.2211391031742096
23,0.5714699029922485,0.43463021516799927,0.26529043912887573
24,0.5579823851585388,0.4381394386291504,0.27506816387176514
25,0.5295116901397705,0.4463673233985901,0.24549442529678345
26,0.4680977463722229,0.4345506429672241,0.18015342950820923
27,0.46809545159339905,0.4033605456352234,0.1488010138273239
