layer,cos,cos_neutral,cos_style_neutral
0,0.6856712102890015,0.8863826394081116,0.5827183723449707
1,0.6116769313812256,0.7915109395980835,0.5537160634994507
2,0.5492289066314697,0.7103608846664429,0.49049925804138184
3,0.4803091287612915,0.62040776014328,0.43826591968536377
4,0.47136589884757996,0.6258366107940674,0.39720678329467773
5,0.4028742015361786,0.5441588163375854,0.25992676615715027
6,0.35688498616218567,0.4326627850532532,0.22409746050834656
7,0.31076163053512573,0.3209760785102844,0.03256116434931755
8,0.368389368057251,0.27010130882263184,0.058835163712501526
9,0.463485985994339,0.28814905881881714,0.08996644616127014
10,0.45631080865859985,0.27716541290283203,0.16543197631835938
11,0.4682770073413849,0.2943059504032135,0.21550574898719788
12,0.45984363555908203,0.2995925545692444,0.24329520761966705
13,0.4305911362171173,0.3275042772293091,0.238657146692276
14,0.41424673795700073,0.30202847719192505,0.18447522819042206
15,0.41373783349990845,0.33104556798934937,0.20023295283317566
16,0.4536827802658081,0.3250359892845154,0.2104680836200714
17,0.4542492628097534,0.34480607509613037,0.21176859736442566
18,0.4314524233341217,0.3799119293689728,0.20728009939193726
19,0.4162721633911133,0.3714684247970581,0.2064467966556549
20,0.4057219624519348,0.38054728507995605,0.22145363688468933
21,0.4267432689666748,0.4499516487121582,0.27265501022338867
22,0.43137869238853455,0.46146535873413086,0.28724780678749084
23,0.44778871536254883,0.4577498137950897,0.29532700777053833
24,0.4507216811180115,0.45839744806289673,0.3033819794654846
25,0.4490879774093628,0.4745290279388428,0.31357908248901367
26,0.46382009983062744,0.48056337237358093,0.32530054450035095
27,0.4766835570335388,0.4818912148475647,0.3284856677055359
28,0.47209984064102173,0.46539437770843506,0.3270381689071655
29,0.468584805727005,0.4364401698112488,0.2935560941696167
30,0.4751841425895691,0.44710806012153625,0.2792320251464844
31,0.47076308727264404,0.4773876667022705,0.2430601269006729
