layer,cos,cos_neutral,cos_style_neutral
0,0.7211252450942993,0.9075201749801636,0.6743695139884949
1,0.6757669448852539,0.7778185606002808,0.5012812614440918
2,0.734149158000946,0.7371698617935181,0.6670317649841309
3,0.6431248188018799,0.6082035303115845,0.6157902479171753
4,0.6808105707168579,0.6272014379501343,0.5874216556549072
5,0.7625293731689453,0.6681206226348877,0.7181946635246277
6,0.7855710387229919,0.6508916616439819,0.7035032510757446
7,0.7585875988006592,0.5586655735969543,0.6028133630752563
8,0.7413054704666138,0.5210031867027283,0.5401216745376587
9,0.694709300994873,0.4283297061920166,0.44810009002685547
10,0.6780076026916504,0.38390180468559265,0.4747040271759033
11,0.6614491939544678,0.49361082911491394,0.5457745790481567
12,0.6660031080245972,0.47972238063812256,0.5248847007751465
13,0.6444781422615051,0.47133612632751465,0.4636794924736023
14,0.6412947177886963,0.47592175006866455,0.46947264671325684
15,0.6187047362327576,0.4494926929473877,0.4316976070404053
16,0.6339643001556396,0.49399662017822266,0.47762036323547363
17,0.6082376837730408,0.48785528540611267,0.4183140695095062
18,0.5827816128730774,0.4822009205818176,0.41847869753837585
19,0.5538722276687622,0.41738632321357727,0.4259500205516815
20,0.5475354790687561,0.4483104646205902,0.4377767741680145
21,0.5537934303283691,0.4797162413597107,0.4493412971496582
22,0.6347358226776123,0.5020104050636292,0.4815565347671509
23,0.653805673122406,0.5128111243247986,0.5115776658058167
24,0.6517678499221802,0.5106693506240845,0.4921143054962158
25,0.6615082025527954,0.5328662991523743,0.5167946815490723
26,0.6128275990486145,0.513179361820221,0.48918449878692627
27,0.5677780508995056,0.47428151965141296,0.43407756090164185
