arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
unmatched,eval,9,final,samecls_samecont,c000,-0.2480792999267578,0.9880614876747131,0.07620752602815628,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,9,final,othercls_samecont,c000,-0.11228561401367188,0.8597522377967834,0.06491254270076752,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,9,final,samecls_diffcont,c000,-0.024145126342773438,0.9916155934333801,0.07693872600793839,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,9,final,othercls_diffcont,c000,-0.09684944152832031,0.7689508199691772,0.05895499140024185,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,9,final,samecls_samecont,c000,-0.06458282470703125,0.900791347026825,0.07004116475582123,1.0,1.0,1.0,0,p01203,109,1,0,5
selected,eval,9,final,othercls_samecont,c000,-0.1089019775390625,0.7557704448699951,0.05755707621574402,1.0,1.0,1.0,0,p00468,109,1,0,4
selected,eval,9,final,samecls_diffcont,c000,-0.031209945678710938,0.7380686402320862,0.05619017034769058,1.0,1.0,1.0,0,p00217,79,1,0,1
selected,eval,9,final,othercls_diffcont,c000,0.0073490142822265625,0.8833185434341431,0.06750289350748062,1.0,1.0,1.0,0,p00596,79,1,0,3
constructed,eval,9,final,samecls_samecont,c000,-0.22841835021972656,0.9020951986312866,0.06962788105010986,0.9129948616027832,0.9129948616027832,0.9129948616027832,0,p00188,109,1,0,0
constructed_min,eval,9,final,samecls_samecont,c000,-0.1969928741455078,0.7689508199691772,0.059414565563201904,0.7782418727874756,0.7782418727874756,0.7782418727874756,0,p00188,109,1,0,0
constructed,eval,9,final,othercls_samecont,c000,-0.11696815490722656,0.9020949602127075,0.06805954873561859,1.0492500066757202,1.0492500066757202,1.0492500066757202,0,p00117,108,1,0,0
constructed_min,eval,9,final,othercls_samecont,c000,-0.10190963745117188,0.7689508199691772,0.05814692750573158,0.8943865299224854,0.8943865299224854,0.8943865299224854,0,p00117,108,1,0,0
constructed,eval,9,final,samecls_diffcont,c000,-0.021249771118164062,0.9020951390266418,0.07001832872629166,0.9097225666046143,0.9097225666046143,0.9097225666046143,0,p00189,79,1,0,0
constructed_min,eval,9,final,samecls_diffcont,c000,-0.017137527465820312,0.7689509391784668,0.05971228703856468,0.7754525542259216,0.7754525542259216,0.7754525542259216,0,p00189,79,1,0,0
constructed,eval,9,final,othercls_diffcont,c000,-0.10938835144042969,0.9020951986312866,0.06905142962932587,1.1731505393981934,1.1731505393981934,1.1731505393981934,0,p00289,79,1,0,0
constructed_min,eval,9,final,othercls_diffcont,c000,-0.09683990478515625,0.7689508199691772,0.05895499140024185,1.0,1.0,1.0,0,p00289,79,1,0,0
unmatched,eval,9,readout,samecls_samecont,c000,-0.3709754943847656,0.9793115854263306,0.06801573932170868,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,9,readout,othercls_samecont,c000,-0.33898162841796875,0.9904730319976807,0.06869565695524216,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,9,readout,samecls_diffcont,c000,-0.27582359313964844,1.0207812786102295,0.07067172974348068,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,9,readout,othercls_diffcont,c000,-0.3367290496826172,1.1210823059082031,0.07756400108337402,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,9,readout,samecls_samecont,c000,-0.3709754943847656,0.9793115854263306,0.06801573932170868,1.0,1.0,1.0,0,p00188,109,46,0,0
selected,eval,9,readout,othercls_samecont,c000,-0.475830078125,1.052205204963684,0.0730668157339096,1.0,1.0,1.0,0,p00561,108,46,0,5
selected,eval,9,readout,samecls_diffcont,c000,-0.6481647491455078,1.2232052087783813,0.08492271602153778,1.0,1.0,1.0,0,p00909,79,46,0,4
selected,eval,9,readout,othercls_diffcont,c000,-0.3162651062011719,1.1502246856689453,0.07975778728723526,1.0,1.0,1.0,0,p00589,79,46,0,2
constructed,eval,9,readout,samecls_samecont,c000,-0.3516197204589844,1.0279120206832886,0.07133062183856964,1.0830390453338623,0.8875490427017212,1.7917636632919312,0,p00188,109,46,0,0
constructed_min,eval,9,readout,samecls_samecont,c000,-0.22769546508789062,0.8940021395683289,0.062178853899240494,0.9232537746429443,0.6625044345855713,1.0,0,p00188,109,46,0,0
constructed,eval,9,readout,othercls_samecont,c000,-0.32628822326660156,1.0279121398925781,0.0712783932685852,1.0726479291915894,0.8323831558227539,1.5662721395492554,0,p00117,108,46,0,0
constructed_min,eval,9,readout,othercls_samecont,c000,-0.1884136199951172,0.8940021395683289,0.06212611123919487,0.9140872359275818,0.6837925910949707,1.0,0,p00117,108,46,0,0
constructed,eval,9,readout,samecls_diffcont,c000,-0.30121612548828125,1.0279120206832886,0.0710165947675705,1.0031360387802124,0.7802852988243103,1.4058524370193481,0,p00189,79,46,0,0
constructed_min,eval,9,readout,samecls_diffcont,c000,-0.23887062072753906,0.8940021395683289,0.061933305114507675,0.8588784337043762,0.5892319679260254,1.0,0,p00189,79,46,0,0
constructed,eval,9,readout,othercls_diffcont,c000,-0.2928581237792969,1.0279120206832886,0.07127975672483444,0.9263920783996582,0.47798413038253784,1.1731505393981934,0,p00289,79,46,0,0
constructed_min,eval,9,readout,othercls_diffcont,c000,-0.17552947998046875,0.8940021395683289,0.06210537627339363,0.8002113103866577,0.26676738262176514,1.0,0,p00289,79,46,0,0
unmatched,eval,9,task,samecls_samecont,c000,0.19854736328125,1.026344895362854,0.07049302011728287,1.0,1.0,1.0,0,p00188,109,79,46,0
unmatched,eval,9,task,othercls_samecont,c000,0.1880359649658203,1.1311534643173218,0.07793623954057693,1.0,1.0,1.0,0,p00117,108,79,46,0
unmatched,eval,9,task,samecls_diffcont,c000,-0.01453399658203125,1.5144803524017334,0.10399603098630905,1.0,1.0,1.0,0,p00189,79,79,46,0
unmatched,eval,9,task,othercls_diffcont,c000,0.10668563842773438,1.4013400077819824,0.09634006023406982,1.0,1.0,1.0,0,p00289,79,79,46,0
selected,eval,9,task,samecls_samecont,c000,-0.10931396484375,1.0670527219772339,0.07262534648180008,1.0,1.0,1.0,0,p00630,110,79,46,2
selected,eval,9,task,othercls_samecont,c000,0.1880359649658203,1.1311534643173218,0.07793623954057693,1.0,1.0,1.0,0,p00117,108,79,46,0
selected,eval,9,task,samecls_diffcont,c000,0.05844306945800781,1.4652913808822632,0.1006564050912857,1.0,1.0,1.0,0,p01014,79,79,46,5
selected,eval,9,task,othercls_diffcont,c000,0.10668563842773438,1.4013400077819824,0.09634006023406982,1.0,1.0,1.0,0,p00289,79,79,46,0
constructed,eval,9,task,samecls_samecont,c000,0.2615013122558594,1.2683297395706177,0.08684317767620087,1.2447679042816162,0.9495297074317932,1.5486116409301758,0,p00188,109,79,46,0
constructed_min,eval,9,task,samecls_samecont,c000,0.19811630249023438,1.009481430053711,0.06924612075090408,0.9868258833885193,0.8468837141990662,1.0,0,p00188,109,79,46,0
constructed,eval,9,task,othercls_samecont,c000,0.20642662048339844,1.2683297395706177,0.08718539029359818,1.1272889375686646,0.9499207139015198,1.4014302492141724,0,p00117,108,79,46,0
constructed_min,eval,9,task,othercls_samecont,c000,0.15370559692382812,1.009481430053711,0.06948938220739365,0.900907576084137,0.7373964786529541,1.0,0,p00117,108,79,46,0
constructed,eval,9,task,samecls_diffcont,c000,-0.015359878540039062,1.2683297395706177,0.08704156428575516,0.8425970077514648,0.7135315537452698,1.0344716310501099,0,p00189,79,79,46,0
constructed_min,eval,9,task,samecls_diffcont,c000,-0.01107025146484375,1.009481430053711,0.06922413408756256,0.6805804967880249,0.4843880832195282,0.990371823310852,0,p00189,79,79,46,0
constructed,eval,9,task,othercls_diffcont,c000,0.10165023803710938,1.2683297395706177,0.08745127171278,0.919337809085846,0.7701593637466431,1.1212042570114136,0,p00289,79,79,46,0
constructed_min,eval,9,task,othercls_diffcont,c000,0.08549690246582031,1.009481430053711,0.06953893601894379,0.7433061003684998,0.5121184587478638,1.0,0,p00289,79,79,46,0
unmatched,eval,22,final,samecls_samecont,c000,0.110198974609375,3.386859655380249,0.04909921810030937,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,22,final,othercls_samecont,c000,-0.011930465698242188,3.2029905319213867,0.046095363795757294,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,22,final,samecls_diffcont,c000,-0.0030975341796875,4.036459445953369,0.05844452977180481,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,22,final,othercls_diffcont,c000,-0.03370094299316406,3.904967784881592,0.05636334419250488,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,22,final,samecls_samecont,c000,0.110198974609375,3.386859655380249,0.04909921810030937,1.0,1.0,1.0,0,p00188,109,1,0,0
selected,eval,22,final,othercls_samecont,c000,0.053607940673828125,3.668133497238159,0.0521908700466156,1.0,1.0,1.0,0,p00288,108,1,0,2
selected,eval,22,final,samecls_diffcont,c000,0.5591068267822266,4.166938304901123,0.06038401275873184,1.0,1.0,1.0,0,p00659,79,1,0,2
selected,eval,22,final,othercls_diffcont,c000,0.1739025115966797,3.885005474090576,0.05625925213098526,1.0,1.0,1.0,0,p00724,79,1,0,5
constructed,eval,22,final,samecls_samecont,c000,0.11923408508300781,3.632819652557373,0.052666716277599335,1.0726218223571777,1.0726218223571777,1.0726218223571777,0,p00188,109,1,0,0
constructed_min,eval,22,final,samecls_samecont,c000,0.10353469848632812,3.2029902935028076,0.04643217474222183,0.9457110166549683,0.9457110166549683,0.9457110166549683,0,p00188,109,1,0,0
constructed,eval,22,final,othercls_samecont,c000,-0.011899948120117188,3.632819175720215,0.052245207130908966,1.134196162223816,1.134196162223816,1.134196162223816,0,p00117,108,1,0,0
constructed_min,eval,22,final,othercls_samecont,c000,-0.011932373046875,3.2029905319213867,0.046095363795757294,1.0,1.0,1.0,0,p00117,108,1,0,0
constructed,eval,22,final,samecls_diffcont,c000,-0.0038967132568359375,3.632819414138794,0.0525788851082325,0.9000015258789062,0.9000015258789062,0.9000015258789062,0,p00189,79,1,0,0
constructed_min,eval,22,final,samecls_diffcont,c000,-0.004451751708984375,3.2029902935028076,0.04633656516671181,0.7935148477554321,0.7935148477554321,0.7935148477554321,0,p00189,79,1,0,0
constructed,eval,22,final,othercls_diffcont,c000,-0.032321929931640625,3.6328201293945312,0.052451472729444504,0.9303072094917297,0.9303072094917297,0.9303072094917297,0,p00289,79,1,0,0
constructed_min,eval,22,final,othercls_diffcont,c000,-0.029842376708984375,3.202990770339966,0.046267058700323105,0.8202348351478577,0.8202348351478577,0.8202348351478577,0,p00289,79,1,0,0
unmatched,eval,22,readout,samecls_samecont,c000,0.1497173309326172,7.480217933654785,0.11173124611377716,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,22,readout,othercls_samecont,c000,-0.003406524658203125,8.317767143249512,0.1233472228050232,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,22,readout,samecls_diffcont,c000,0.019788742065429688,8.727365493774414,0.1301581710577011,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,22,readout,othercls_diffcont,c000,-0.02740478515625,9.80172348022461,0.14503954350948334,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,22,readout,samecls_samecont,c000,0.1497173309326172,7.480217933654785,0.11173124611377716,1.0,1.0,1.0,0,p00188,109,46,0,0
selected,eval,22,readout,othercls_samecont,c000,0.05006217956542969,9.655618667602539,0.1427813619375229,1.0,1.0,1.0,0,p00288,108,46,0,2
selected,eval,22,readout,samecls_diffcont,c000,-0.29329490661621094,11.57648754119873,0.1718636006116867,1.0,1.0,1.0,0,p00754,79,46,0,3
selected,eval,22,readout,othercls_diffcont,c000,-0.40506935119628906,9.401762962341309,0.14004774391651154,1.0,1.0,1.0,0,p00380,79,46,0,1
constructed,eval,22,readout,samecls_samecont,c000,0.17214393615722656,8.581768989562988,0.1277015656232834,1.1611307859420776,0.9014816284179688,1.517471194267273,0,p00188,109,46,0,0
constructed_min,eval,22,readout,samecls_samecont,c000,0.14134979248046875,7.2833781242370605,0.10867738723754883,0.9704185128211975,0.7718546390533447,1.0,0,p00188,109,46,0,0
constructed,eval,22,readout,othercls_samecont,c000,-0.004062652587890625,8.581768989562988,0.12686960399150848,1.051835298538208,0.7377504706382751,1.3497198820114136,0,p00117,108,46,0,0
constructed_min,eval,22,readout,othercls_samecont,c000,-0.0077419281005859375,7.2833781242370605,0.10811027139425278,0.8860448598861694,0.4861709773540497,1.0,0,p00117,108,46,0,0
constructed,eval,22,readout,samecls_diffcont,c000,0.01483917236328125,8.581768989562988,0.12786321341991425,0.975368082523346,0.6493898034095764,1.183736801147461,0,p00189,79,46,0,0
constructed_min,eval,22,readout,samecls_diffcont,c000,0.010881423950195312,7.2833781242370605,0.10876927524805069,0.8250709176063538,0.48112931847572327,1.0,0,p00189,79,46,0,0
constructed,eval,22,readout,othercls_diffcont,c000,-0.025394439697265625,8.581768035888672,0.12785343825817108,0.9053885340690613,0.6949366927146912,1.096638560295105,0,p00289,79,46,0,0
