arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,deploy,9,final,class,-0.057382996877034506,-0.0962732974688212,-0.020329545338948582,30
constructed,deploy,9,final,content,-0.01231069564819336,-0.06945345958073934,0.04694414933522539,30
constructed,deploy,9,final,interaction,-0.01762692133585612,-0.05322058995564779,0.014398451646169022,30
constructed,deploy,9,readout,class,-0.01542975107828776,-0.08681936820348103,0.05206932862599685,30
constructed,deploy,9,readout,content,-0.001494153340657552,-0.09492823521296183,0.09140332937240594,30
constructed,deploy,9,readout,interaction,-0.03677024841308594,-0.08881544748942058,0.01280391534169514,30
constructed,deploy,9,task,class,-0.027631123860677082,-0.0735826071103414,0.017021247545878044,30
constructed,deploy,9,task,content,0.0055088678995768225,-0.05562636852264404,0.06488820155461622,30
constructed,deploy,9,task,interaction,-0.023177146911621094,-0.06571563482284547,0.01945995807647703,30
constructed,deploy,22,final,class,0.3426416714986165,0.21855640490849812,0.47722460587819415,30
constructed,deploy,22,final,content,-0.1333607037862142,-0.2947361954053243,0.02878910541534406,30
constructed,deploy,22,final,interaction,0.03766164779663086,-0.08715834140777587,0.16299307187398263,30
constructed,deploy,22,readout,class,0.3463672320048014,0.22236132860183716,0.4806452274322509,30
constructed,deploy,22,readout,content,-0.14139585494995116,-0.2997186326980591,0.019133845170338944,30
constructed,deploy,22,readout,interaction,0.036767800649007164,-0.08889632701873779,0.1633726922671,30
constructed,deploy,22,task,class,-0.00020599365234375,-0.0018045171101888021,0.0013245884577433268,30
constructed,deploy,22,task,content,0.0004628499348958333,-0.0017908787727355957,0.002655539512634277,30
constructed,deploy,22,task,interaction,-1.6530354817708332e-05,-0.0016161123911539715,0.0016195623079935707,30
constructed,eval,9,final,class,0.06630547841389973,0.026173191865285238,0.1135950581232706,30
constructed,eval,9,final,content,-0.009445571899414062,-0.09100471178690592,0.07360737164815259,30
constructed,eval,9,final,interaction,0.017946751912434895,-0.03046079794565837,0.06969674666722615,30
constructed,eval,9,readout,class,-0.04167254765828451,-0.12736284017562868,0.04662332852681466,30
constructed,eval,9,readout,content,0.09580685297648112,-0.0008965857823689777,0.19433836221694947,30
constructed,eval,9,readout,interaction,0.0729697863260905,0.004430740674336751,0.14871061245600378,30
constructed,eval,9,task,class,0.060015106201171876,0.016175167560577394,0.10591669559478756,30
constructed,eval,9,task,content,0.05008678436279297,-0.021098275184631345,0.11666011412938435,30
constructed,eval,9,task,interaction,0.05449663798014323,0.006301779747009278,0.10070609569549557,30
constructed,eval,22,final,class,-0.38766965866088865,-0.543780312538147,-0.24293921073277794,30
constructed,eval,22,final,content,0.136882750193278,-0.05832408587137858,0.33859856128692606,30
constructed,eval,22,final,interaction,-0.04092810948689778,-0.21078140497207642,0.1260032637914019,30
constructed,eval,22,readout,class,-0.39855260848999025,-0.5547694945335389,-0.2535090883572897,30
constructed,eval,22,readout,content,0.13627246220906575,-0.05805750211079915,0.3352528659502664,30
constructed,eval,22,readout,interaction,-0.044556013743082684,-0.21555065631866455,0.12217710733413686,30
constructed,eval,22,task,class,-0.0009088516235351562,-0.0023521955808003744,0.0005446664492289223,30
constructed,eval,22,task,content,-0.0027088165283203126,-0.004865261713663737,-0.0006117653846740734,30
constructed,eval,22,task,interaction,-0.00153045654296875,-0.0031025052070617672,7.924874623616434e-05,30
constructed_min,deploy,9,final,class,-0.03350292841593425,-0.05515441417694092,-0.010830333232879649,30
constructed_min,deploy,9,final,content,-0.009482479095458985,-0.038416481018066405,0.01911258538564046,30
constructed_min,deploy,9,final,interaction,-0.006965160369873047,-0.025229744911193848,0.009578367074330647,30
constructed_min,deploy,9,readout,class,-0.03497091929117838,-0.07820005575815837,0.008804980913797918,30
constructed_min,deploy,9,readout,content,0.017400550842285156,-0.041185630957285564,0.07462087472279862,30
constructed_min,deploy,9,readout,interaction,-0.011151440938313802,-0.036552750269571936,0.01645880381266275,30
constructed_min,deploy,9,task,class,-0.015627002716064452,-0.04145055770874023,0.010504028002421055,30
constructed_min,deploy,9,task,content,0.005062580108642578,-0.031041816075642905,0.04200748682022093,30
constructed_min,deploy,9,task,interaction,-0.011887009938557942,-0.03565513213475545,0.012183156013488764,30
constructed_min,deploy,22,final,class,0.18931887944539388,0.12427950541178386,0.25786458969116205,30
constructed_min,deploy,22,final,content,-0.07490154902140299,-0.1766207257906596,0.031359925270080476,30
constructed_min,deploy,22,final,interaction,0.01028909683227539,-0.06701402743657431,0.08540761788686113,30
constructed_min,deploy,22,readout,class,0.1919091542561849,0.12758354663848875,0.2602671694755554,30
constructed_min,deploy,22,readout,content,-0.07946058909098307,-0.17921100536982218,0.025656785964965803,30
constructed_min,deploy,22,readout,interaction,0.009402783711751302,-0.06700850884119669,0.08373367150624587,30
constructed_min,deploy,22,task,class,-0.00011618932088216145,-0.0011641407012939454,0.0009249281883239746,30
constructed_min,deploy,22,task,content,-0.0001853624979654948,-0.0015522106488545736,0.0012403035163879392,30
constructed_min,deploy,22,task,interaction,-0.00022147496541341145,-0.0013259887695312499,0.000900007883707681,30
constructed_min,eval,9,final,class,0.04570503234863281,0.01983154853185018,0.07310188770294182,30
constructed_min,eval,9,final,content,-0.016379483540852866,-0.07109975655873617,0.03690927743911742,30
constructed_min,eval,9,final,interaction,0.009781074523925782,-0.020499582290649413,0.040975061257680245,30
constructed_min,eval,9,readout,class,-0.01863867441813151,-0.08073756535847983,0.04530903339385984,30
constructed_min,eval,9,readout,content,0.05762182871500651,-0.010723071893056234,0.12689270337422676,30
constructed_min,eval,9,readout,interaction,0.0385430653889974,-0.010938806533813477,0.08803338607152295,30
constructed_min,eval,9,task,class,0.04206403096516927,0.011483424504597982,0.07442923784255982,30
constructed_min,eval,9,task,content,0.042207527160644534,0.0011145790417989097,0.08346042394638062,30
constructed_min,eval,9,task,interaction,0.03630879720052083,0.006970818042755128,0.06496998071670528,30
constructed_min,eval,22,final,class,-0.2756795883178711,-0.3877280958493551,-0.17249002933502203,30
constructed_min,eval,22,final,content,0.0858289082845052,-0.05033133268356323,0.21731870333353678,30
constructed_min,eval,22,final,interaction,-0.013537279764811198,-0.1351272201538086,0.10420661528905231,30
constructed_min,eval,22,readout,class,-0.2838147481282552,-0.3959627326329549,-0.18067252159118655,30
constructed_min,eval,22,readout,content,0.08664404551188151,-0.0469860847791036,0.21540674050649,30
constructed_min,eval,22,readout,interaction,-0.0159088134765625,-0.13669035355250042,0.10029862642288204,30
constructed_min,eval,22,task,class,-0.0008140881856282552,-0.001867701212565104,0.00020321369171142517,30
constructed_min,eval,22,task,content,-0.0022929827372233074,-0.003691718578338623,-0.0008810035387674968,30
constructed_min,eval,22,task,interaction,-0.001127783457438151,-0.0022525986035664878,1.0429223378499337e-05,30
selected,deploy,9,final,class,-0.061681238810221355,-0.09194616079330445,-0.030773196220397953,30
selected,deploy,9,final,content,0.02943426767985026,-0.04729378382364909,0.10996286789576198,30
selected,deploy,9,final,interaction,-0.009547678629557292,-0.037699641386667884,0.016657440662384025,30
selected,deploy,9,readout,class,-0.04575045903523763,-0.13582828442255654,0.03668262163798007,30
selected,deploy,9,readout,content,0.05217453638712565,-0.05491933504740397,0.15494839429855348,30
