framing,system,acc,p_correct,lo,hi
eval,incentive,0.75,0.7411119251822432,0.6141029745573178,0.8629344482673331
eval,neutral,0.8333333134651184,0.7535251447310051,0.6329833037219941,0.8699464673176407
deploy,incentive,0.75,0.7405531648546457,0.6284344701717297,0.8572003090133269
deploy,neutral,0.8333333134651184,0.7552399002015591,0.639154870947823,0.8680508820029597
