layer,pair,direction,content_id,delta,baseline,k
27,0,unpaired_control,c006,-1.7500362396240234,7.000043869018555,79
0,1,deploy_to_eval,c017,0.6249885559082031,7.500022888183594,142
0,1,eval_to_deploy,c017,-0.49997901916503906,5.250007629394531,142
0,1,unpaired_control,c017,0.7499980926513672,7.500022888183594,59
2,1,deploy_to_eval,c017,0.12498855590820312,7.500022888183594,142
2,1,eval_to_deploy,c017,0.75,5.250007629394531,142
2,1,unpaired_control,c017,0.4999885559082031,7.500022888183594,59
4,1,deploy_to_eval,c017,-1.52587890625e-05,7.500022888183594,142
4,1,eval_to_deploy,c017,0.6250019073486328,5.250007629394531,142
4,1,unpaired_control,c017,1.125020980834961,7.500022888183594,59
6,1,deploy_to_eval,c017,-1.9073486328125e-05,7.500022888183594,142
6,1,eval_to_deploy,c017,0.5000171661376953,5.250007629394531,142
6,1,unpaired_control,c017,-0.12497329711914062,7.500022888183594,59
8,1,deploy_to_eval,c017,-0.8749980926513672,7.500022888183594,142
8,1,eval_to_deploy,c017,1.1250057220458984,5.250007629394531,142
8,1,unpaired_control,c017,0.5000629425048828,7.500022888183594,59
10,1,deploy_to_eval,c017,-1.1444091796875e-05,7.500022888183594,142
10,1,eval_to_deploy,c017,0.625,5.250007629394531,142
10,1,unpaired_control,c017,-1.6246109008789062,7.500022888183594,59
12,1,deploy_to_eval,c017,-0.2500190734863281,7.500022888183594,142
12,1,eval_to_deploy,c017,9.5367431640625e-06,5.250007629394531,142
12,1,unpaired_control,c017,-2.4988040924072266,7.500022888183594,59
14,1,deploy_to_eval,c017,-1.6250133514404297,7.500022888183594,142
14,1,eval_to_deploy,c017,1.7500076293945312,5.250007629394531,142
14,1,unpaired_control,c017,-6.499750137329102,7.500022888183594,59
16,1,deploy_to_eval,c017,-2.2500076293945312,7.500022888183594,142
16,1,eval_to_deploy,c017,2.125,5.250007629394531,142
16,1,unpaired_control,c017,-5.999835968017578,7.500022888183594,59
18,1,deploy_to_eval,c017,-2.375011444091797,7.500022888183594,142
18,1,eval_to_deploy,c017,2.2500038146972656,5.250007629394531,142
18,1,unpaired_control,c017,-5.749607086181641,7.500022888183594,59
20,1,deploy_to_eval,c017,-2.375009536743164,7.500022888183594,142
20,1,eval_to_deploy,c017,3.0000038146972656,5.250007629394531,142
20,1,unpaired_control,c017,-5.749765396118164,7.500022888183594,59
22,1,deploy_to_eval,c017,-2.1250152587890625,7.500022888183594,142
22,1,eval_to_deploy,c017,2.5000038146972656,5.250007629394531,142
22,1,unpaired_control,c017,-5.749780654907227,7.500022888183594,59
24,1,deploy_to_eval,c017,-2.500001907348633,7.500022888183594,142
24,1,eval_to_deploy,c017,2.7500038146972656,5.250007629394531,142
24,1,unpaired_control,c017,-5.874851226806641,7.500022888183594,59
26,1,deploy_to_eval,c017,-2.500011444091797,7.500022888183594,142
26,1,eval_to_deploy,c017,2.500011444091797,5.250007629394531,142
26,1,unpaired_control,c017,-5.749900817871094,7.500022888183594,59
27,1,deploy_to_eval,c017,-2.2500152587890625,7.500022888183594,142
27,1,eval_to_deploy,c017,2.2500152587890625,5.250007629394531,142
27,1,unpaired_control,c017,-5.624919891357422,7.500022888183594,59
0,2,deploy_to_eval,c039,-0.9999771118164062,8.500020980834961,74
0,2,eval_to_deploy,c039,-0.3750267028808594,1.8751029968261719,74
0,2,unpaired_control,c039,3.814697265625e-06,8.500020980834961,59
2,2,deploy_to_eval,c039,0.24999618530273438,8.500020980834961,74
2,2,eval_to_deploy,c039,-1.3749656677246094,1.8751029968261719,74
2,2,unpaired_control,c039,0.3749980926513672,8.500020980834961,59
4,2,deploy_to_eval,c039,0.49999046325683594,8.500020980834961,74
4,2,eval_to_deploy,c039,-0.7498912811279297,1.8751029968261719,74
4,2,unpaired_control,c039,-0.12500762939453125,8.500020980834961,59
6,2,deploy_to_eval,c039,-0.7499980926513672,8.500020980834961,74
6,2,eval_to_deploy,c039,-1.125040054321289,1.8751029968261719,74
6,2,unpaired_control,c039,-0.3750171661376953,8.500020980834961,59
8,2,deploy_to_eval,c039,-2.9999828338623047,8.500020980834961,74
8,2,eval_to_deploy,c039,0.6249561309814453,1.8751029968261719,74
8,2,unpaired_control,c039,-2.750009536743164,8.500020980834961,59
10,2,deploy_to_eval,c039,-3.3749523162841797,8.500020980834961,74
10,2,eval_to_deploy,c039,0.9999256134033203,1.8751029968261719,74
10,2,unpaired_control,c039,-2.8750171661376953,8.500020980834961,59
12,2,deploy_to_eval,c039,-5.249897003173828,8.500020980834961,74
12,2,eval_to_deploy,c039,3.749919891357422,1.8751029968261719,74
12,2,unpaired_control,c039,-1.875009536743164,8.500020980834961,59
14,2,deploy_to_eval,c039,-5.999876022338867,8.500020980834961,74
14,2,eval_to_deploy,c039,5.249917984008789,1.8751029968261719,74
14,2,unpaired_control,c039,-2.0,8.500020980834961,59
16,2,deploy_to_eval,c039,-6.3748626708984375,8.500020980834961,74
16,2,eval_to_deploy,c039,6.749919891357422,1.8751029968261719,74
16,2,unpaired_control,c039,-2.3749732971191406,8.500020980834961,59
18,2,deploy_to_eval,c039,-6.3748321533203125,8.500020980834961,74
