alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,8,best,c039,-1.9998903274536133,-0.43750476837158203,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c036,1.8749284744262695,-0.7498798370361328,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c009,-2.4999704360961914,-1.3749284744262695,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c000,0.43764209747314453,-2.437267303466797,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c013,1.250004768371582,-2.1873254776000977,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c049,-4.249981880187988,0.8125066757202148,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c058,0.5625019073486328,0.4375,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c024,1.1875686645507812,0.25028133392333984,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c042,-1.1875,-4.499975204467773,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c047,2.0000152587890625,0.6875877380371094,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c043,0.2500143051147461,-1.4997577667236328,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c003,-2.499927520751953,-2.4999160766601562,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c041,-1.4374065399169922,0.8751592636108398,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c008,-2.812495231628418,-1.2500028610229492,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c045,0.750096321105957,-2.562344551086426,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c011,-2.124993324279785,-3.8749895095825195,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c020,-0.4374685287475586,-2.4374237060546875,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c044,0.8126773834228516,-2.3746795654296875,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c016,2.37502384185791,0.06255912780761719,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c056,0.6875839233398438,-1.0597515106201172,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c025,4.811758995056152,-0.25144290924072266,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c029,-1.5000019073486328,-1.8749961853027344,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c014,-0.3125,-4.124990463256836,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c002,0.31250667572021484,-2.1874446868896484,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c023,1.4377355575561523,-0.6872224807739258,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c046,0.2503366470336914,1.2503538131713867,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c022,-0.1872110366821289,0.12528610229492188,0.0250104907900095,0.0889311283826828
-8.0,eval,d,8,best,c050,1.8749866485595703,-0.6249303817749023,0.0250104907900095,0.0889311283826828
-8.0,deploy,d,8,best,c006,-5.374913215637207,-2.6248435974121094,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c017,-3.062453269958496,-2.562434196472168,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c039,-5.187734603881836,-0.37524986267089844,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c036,-3.4999475479125977,-2.93704891204834,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c009,-6.999985694885254,-1.5624885559082031,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c000,-4.062398910522461,-2.562376022338867,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c013,-2.624945640563965,-3.312122344970703,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c049,-8.124996185302734,-0.8124980926513672,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c058,-4.874998092651367,0.625,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c024,-4.9999847412109375,-0.9999494552612305,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c042,-5.937487602233887,-3.749983787536621,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c047,-4.812458038330078,-3.18743896484375,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c043,-4.937461853027344,-2.374955177307129,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c003,-3.937445640563965,-9.5367431640625e-07,0.3991472125053406,0.38040974736213684
-8.0,deploy,d,8,best,c041,-2.6248607635498047,0.06264972686767578,0.3991472125053406,0.38040974736213684
