layer,framing,mean,lo,hi,n
0,eval,-0.6474833488464355,-0.8422029995918274,-0.45556034564971937,60
0,deploy,0.6307171185811361,0.4925040153662364,0.7615399316946665,60
2,eval,-0.20166457494099935,-0.398805000782013,-0.009689316352208556,60
2,deploy,0.5466845989227295,0.4170303912957509,0.6701679452260335,60
4,eval,-1.253912099202474,-1.4633263885974885,-1.0386822064717611,60
4,deploy,1.0728522936503093,0.8935216871897379,1.2454519498348233,60
6,eval,1.6482457478841146,1.3760436268647511,1.9340207640329996,60
6,deploy,-0.7645585854848226,-0.9489857757091522,-0.5864264341195424,60
8,eval,-0.8017990112304687,-1.0020726962884265,-0.6132789925734204,60
8,deploy,0.8781320571899414,0.7073374211788178,1.0583424786726632,60
10,eval,-2.1071009318033855,-2.3565350580215454,-1.8586858185132347,60
10,deploy,1.3459196090698242,1.1751550161838533,1.5334449795881906,60
12,eval,-3.0422915617624917,-3.2465021193027495,-2.8263795733451844,60
12,deploy,2.2396068890889484,2.0073055907090502,2.4615250643094377,60
14,eval,-1.1173014163970947,-1.46628360191981,-0.7714691499869032,60
14,deploy,0.8640055338541667,0.6857456040382385,1.0388797684510547,60
16,eval,-0.6059796492258708,-0.7925112438201904,-0.4262456874052684,60
16,deploy,0.5937155246734619,0.4707498824596405,0.722874127626419,60
18,eval,0.24514926274617513,0.1495832121372223,0.337259476184845,60
18,deploy,-0.20929265022277832,-0.2759505259990692,-0.14047698338826511,60
20,eval,0.040904903411865236,-0.05166486660639445,0.13642140507698056,60
20,deploy,-0.1655360221862793,-0.2395422907670339,-0.0978607193628947,60
22,eval,-0.19277812639872233,-0.3507637337843577,-0.041461186408996646,60
22,deploy,0.34384214083353676,0.2761441691716512,0.4094593234856923,60
24,eval,-0.1991222858428955,-0.30675278782844545,-0.09869030435880027,60
24,deploy,0.16567978858947754,0.10005277673403423,0.22928024729092902,60
26,eval,-0.35463698705037433,-0.5033929443359375,-0.21767075657844548,60
26,deploy,-0.34992755254109703,-0.46555237491925555,-0.24154262542724625,60
27,eval,-0.073918088277181,-0.12005943655967713,-0.032244554360707625,60
27,deploy,0.30943110783894856,0.23864320755004884,0.3823160163561503,60
