alpha,framing,condition,layer,layer_tag,content_id,belief,delta,kl,entropy
-8.0,eval,d,5,best,c006,0.2396554946899414,-0.06195259094238281,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c017,0.03221702575683594,0.037415504455566406,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c039,0.056672096252441406,-0.22937488555908203,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c036,-0.10002422332763672,-0.2252359390258789,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c009,-0.2420206069946289,-0.12650680541992188,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c000,0.12645816802978516,-0.12549400329589844,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c013,0.29901790618896484,-0.034569740295410156,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c049,0.13915634155273438,0.022057533264160156,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c058,0.11513328552246094,-0.06225013732910156,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c024,0.13901329040527344,-0.17040348052978516,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c042,0.07519912719726562,-0.1581563949584961,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c047,0.09703445434570312,-0.20169639587402344,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c043,0.0058727264404296875,-0.14451217651367188,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c003,0.14005374908447266,-0.21380901336669922,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c041,0.024565696716308594,-0.06057929992675781,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c008,-0.16034317016601562,0.0818929672241211,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c045,0.3011484146118164,-0.047570228576660156,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c011,0.0800180435180664,-0.11985301971435547,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c020,0.30760955810546875,-0.19602584838867188,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c044,0.0927581787109375,-0.2022085189819336,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c016,0.052184104919433594,-0.22109222412109375,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c056,0.18477916717529297,-0.20371532440185547,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c025,0.10897254943847656,-0.1590862274169922,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c029,-0.037064552307128906,-0.15057086944580078,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c014,0.04091358184814453,-0.02519702911376953,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c002,0.18468856811523438,-0.233795166015625,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c023,0.09774017333984375,-0.23977088928222656,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c046,0.1040201187133789,-0.18223190307617188,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c022,0.07461261749267578,-0.036910057067871094,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c050,0.22972869873046875,-0.2607545852661133,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c006,0.2131662368774414,-0.1500091552734375,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c017,0.3638162612915039,-0.17046546936035156,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c039,0.011160850524902344,-0.06928634643554688,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c036,-0.00609588623046875,-0.10950946807861328,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c009,0.017760276794433594,-0.17662525177001953,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c000,-0.07193183898925781,-0.28299427032470703,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c013,-0.09054756164550781,-0.2215595245361328,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c049,-0.014387130737304688,-0.02129840850830078,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c058,0.01795482635498047,-0.025934219360351562,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c024,0.0529327392578125,-0.2124004364013672,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c042,-0.049831390380859375,-0.18202781677246094,0.023866252973675728,0.6472072005271912
-8.0,eval,d,5,best,c047,0.19939422607421875,-0.12491798400878906,0.023866252973675728,0.6472072005271912
