layer,pair,direction,content_id,delta,baseline,k
0,0,deploy_to_eval,c006,0.009601593017578125,-0.9288082122802734,123
0,0,eval_to_deploy,c006,-0.028200149536132812,-1.2413101196289062,123
0,0,unpaired_control,c006,0.09381294250488281,-0.9288082122802734,79
1,0,deploy_to_eval,c006,-0.1313457489013672,-0.9288082122802734,123
1,0,eval_to_deploy,c006,0.1398448944091797,-1.2413101196289062,123
1,0,unpaired_control,c006,0.2148284912109375,-0.9288082122802734,79
2,0,deploy_to_eval,c006,-0.17177963256835938,-0.9288082122802734,123
2,0,eval_to_deploy,c006,0.1581287384033203,-1.2413101196289062,123
2,0,unpaired_control,c006,0.23979759216308594,-0.9288082122802734,79
3,0,deploy_to_eval,c006,-0.3114356994628906,-0.9288082122802734,123
3,0,eval_to_deploy,c006,0.19124794006347656,-1.2413101196289062,123
3,0,unpaired_control,c006,0.2529640197753906,-0.9288082122802734,79
4,0,deploy_to_eval,c006,-0.18598556518554688,-0.9288082122802734,123
4,0,eval_to_deploy,c006,0.06064414978027344,-1.2413101196289062,123
4,0,unpaired_control,c006,0.3693103790283203,-0.9288082122802734,79
5,0,deploy_to_eval,c006,-0.073394775390625,-0.9288082122802734,123
5,0,eval_to_deploy,c006,-0.11349296569824219,-1.2413101196289062,123
5,0,unpaired_control,c006,0.37654876708984375,-0.9288082122802734,79
6,0,deploy_to_eval,c006,-0.32387542724609375,-0.9288082122802734,123
6,0,eval_to_deploy,c006,0.03925895690917969,-1.2413101196289062,123
6,0,unpaired_control,c006,0.16481399536132812,-0.9288082122802734,79
7,0,deploy_to_eval,c006,-0.3855609893798828,-0.9288082122802734,123
7,0,eval_to_deploy,c006,0.15004920959472656,-1.2413101196289062,123
7,0,unpaired_control,c006,0.17978477478027344,-0.9288082122802734,79
8,0,deploy_to_eval,c006,-0.3877525329589844,-0.9288082122802734,123
8,0,eval_to_deploy,c006,0.14995384216308594,-1.2413101196289062,123
8,0,unpaired_control,c006,0.16557884216308594,-0.9288082122802734,79
9,0,deploy_to_eval,c006,-0.3399219512939453,-0.9288082122802734,123
9,0,eval_to_deploy,c006,0.09827232360839844,-1.2413101196289062,123
9,0,unpaired_control,c006,0.15205764770507812,-0.9288082122802734,79
10,0,deploy_to_eval,c006,-0.40985870361328125,-0.9288082122802734,123
10,0,eval_to_deploy,c006,0.1793041229248047,-1.2413101196289062,123
10,0,unpaired_control,c006,0.08180427551269531,-0.9288082122802734,79
11,0,deploy_to_eval,c006,-0.39441871643066406,-0.9288082122802734,123
11,0,eval_to_deploy,c006,0.3487720489501953,-1.2413101196289062,123
11,0,unpaired_control,c006,0.0657958984375,-0.9288082122802734,79
12,0,deploy_to_eval,c006,-0.3391532897949219,-0.9288082122802734,123
12,0,eval_to_deploy,c006,0.2841472625732422,-1.2413101196289062,123
12,0,unpaired_control,c006,0.2355175018310547,-0.9288082122802734,79
13,0,deploy_to_eval,c006,-0.3003578186035156,-0.9288082122802734,123
13,0,eval_to_deploy,c006,0.3123912811279297,-1.2413101196289062,123
13,0,unpaired_control,c006,0.2934608459472656,-0.9288082122802734,79
14,0,deploy_to_eval,c006,-0.3126850128173828,-0.9288082122802734,123
14,0,eval_to_deploy,c006,0.3189258575439453,-1.2413101196289062,123
14,0,unpaired_control,c006,0.31484413146972656,-0.9288082122802734,79
15,0,deploy_to_eval,c006,-0.31218910217285156,-0.9288082122802734,123
15,0,eval_to_deploy,c006,0.31592750549316406,-1.2413101196289062,123
15,0,unpaired_control,c006,0.3287086486816406,-0.9288082122802734,79
16,0,deploy_to_eval,c006,-0.3156757354736328,-0.9288082122802734,123
16,0,eval_to_deploy,c006,0.319244384765625,-1.2413101196289062,123
16,0,unpaired_control,c006,0.3208885192871094,-0.9288082122802734,79
17,0,deploy_to_eval,c006,-0.3223094940185547,-0.9288082122802734,123
17,0,eval_to_deploy,c006,0.3236255645751953,-1.2413101196289062,123
17,0,unpaired_control,c006,0.33238983154296875,-0.9288082122802734,79
18,0,deploy_to_eval,c006,-0.3252105712890625,-0.9288082122802734,123
