layer,direction,mean,lo,hi,n
0,deploy_to_eval,0.019043890635172527,-0.0010064252217610677,0.03878792683283488,60
0,eval_to_deploy,-0.016402403513590496,-0.03271708965301514,0.0007308181126912412,60
0,unpaired_control,0.027247873942057292,-0.005075195630391439,0.05756174882253011,60
1,deploy_to_eval,-0.005810197194417318,-0.03324979146321615,0.019793021678924543,60
1,eval_to_deploy,-0.0032073338826497395,-0.029304447174072268,0.021629362901051837,60
1,unpaired_control,0.0597354253133138,-0.014326618512471518,0.1347783327102661,60
2,deploy_to_eval,0.01589514414469401,-0.013210128943125406,0.04432838360468543,60
2,eval_to_deploy,-0.036452325185139973,-0.06362585226694743,-0.010394902229309135,60
2,unpaired_control,0.09092671076456706,0.015314103762308757,0.16389026323954264,60
3,deploy_to_eval,-0.03040631612141927,-0.07916689475377402,0.01830438216527303,60
3,eval_to_deploy,-0.05594024658203125,-0.08730560938517253,-0.026254014968872114,60
3,unpaired_control,0.05715945561726888,-0.019065665404001873,0.13017849206924434,60
4,deploy_to_eval,0.03495928446451823,-0.032987374464670816,0.10122853199640904,60
4,eval_to_deploy,-0.11876805623372395,-0.1602179400126139,-0.0797256875038147,60
4,unpaired_control,0.10482997894287109,0.005430851777394613,0.20736034631729117,60
5,deploy_to_eval,0.14941142400105795,0.06125478188196819,0.2436639674504598,60
5,eval_to_deploy,-0.2335985819498698,-0.3007041096687317,-0.17059494892756147,60
5,unpaired_control,0.19309151967366536,0.07248361666997273,0.3030766860644021,60
6,deploy_to_eval,-0.020404624938964843,-0.13284958998362223,0.09048079490661619,60
6,eval_to_deploy,-0.13603264490763348,-0.21335366010665893,-0.061318605740865104,60
6,unpaired_control,0.0004798253377278646,-0.10432528257369995,0.10665653069814018,60
7,deploy_to_eval,-0.08561194737752278,-0.20435342788696287,0.026743210156758623,60
7,eval_to_deploy,-0.08655875523885091,-0.16697527329126993,-0.007031211853027501,60
7,unpaired_control,-0.06320241292317709,-0.17351523876190186,0.05328996499379476,60
8,deploy_to_eval,-0.051497395833333334,-0.17351338148117065,0.06694574197133382,60
8,eval_to_deploy,-0.12274169921875,-0.21102972745895385,-0.03979138135910036,60
8,unpaired_control,-0.05187784830729167,-0.1660014239947001,0.05690802812576285,60
9,deploy_to_eval,-0.05873438517252604,-0.18092529535293578,0.06038521528244003,60
9,eval_to_deploy,-0.10985288619995118,-0.20063730716705322,-0.020319929122924824,60
9,unpaired_control,-0.029635524749755858,-0.1525756088892619,0.09214365720748897,60
10,deploy_to_eval,-0.03562510808308919,-0.16879678487777708,0.09131699244181306,60
