dst_cls,layer,region,effect,mean,lo,hi,n_contents
deploy,10,final,class,-0.040026092529296876,-0.06189190228780111,-0.01709707101186117,30
deploy,10,final,content,0.043555132548014325,-0.0008638564745585123,0.09002753257751463,30
deploy,10,final,interaction,0.006455612182617187,-0.013804057439168295,0.027565770943959546,30
deploy,10,final,standard,-0.03709952036539713,-0.09085049947102865,0.016771890322367335,30
deploy,10,question,class,0.11772788365681966,0.0423571252822876,0.19407999515533447,30
deploy,10,question,content,0.01658169428507487,-0.1501120138168335,0.20261957804361974,30
deploy,10,question,interaction,-0.010206508636474609,-0.12064011494318644,0.10307090520858755,30
deploy,10,question,standard,-0.02678820292154948,-0.2837089935938517,0.21284135977427124,30
deploy,10,readout,class,0.07569328943888347,-0.0002557333310445144,0.15075829029083246,30
deploy,10,readout,content,0.0465083122253418,-0.12557141145070394,0.23674070358276353,30
deploy,10,readout,interaction,0.004889202117919922,-0.09832826217015585,0.1075777475039164,30
deploy,10,readout,standard,-0.04161911010742188,-0.2827187458674113,0.19187133948008211,30
deploy,10,task,class,0.08964125315348308,0.05621855497360229,0.12336764256159465,30
deploy,10,task,content,-0.01776281992594401,-0.06993972301483155,0.037387795448303215,30
deploy,10,task,interaction,0.011879030863444011,-0.022841349442799887,0.04875417868296304,30
deploy,10,task,standard,0.02964185078938802,-0.040519518852233885,0.09603244781494137,30
deploy,20,final,class,1.0023643493652343,0.8254352116584778,1.1862868738174437,30
deploy,20,final,content,0.02326825459798177,-0.17173200607299804,0.22450519641240435,30
deploy,20,final,interaction,0.027939351399739583,-0.13896314144134522,0.19200795332590737,30
deploy,20,final,standard,0.0046710968017578125,-0.2766024955113729,0.28844884395599346,30
deploy,20,question,class,0.2930790901184082,0.24340574264526368,0.34583135604858395,30
deploy,20,question,content,0.0016018231709798178,-0.0612002436319987,0.06948455890019728,30
deploy,20,question,interaction,0.00024665196736653645,-0.04593264977137248,0.04595918814341226,30
deploy,20,question,standard,-0.0013551712036132812,-0.09454846700032551,0.0899178282419839,30
deploy,20,readout,class,1.2878584225972494,1.0641539200146992,1.5253712439537048,30
deploy,20,readout,content,0.026315848032633465,-0.2218082555135091,0.2898975936571753,30
deploy,20,readout,interaction,0.028620179494222006,-0.1919378598531087,0.24116430362065627,30
deploy,20,readout,standard,0.002304331461588542,-0.37251039981842043,0.36727500915527345,30
deploy,20,task,class,0.0033891677856445314,-0.0029556544621785483,0.009927112261454254,30
deploy,20,task,content,0.004906018575032552,-0.007170046170552571,0.017281664212544758,30
deploy,20,task,interaction,-0.0009408950805664063,-0.006284181276957194,0.004572837352752684,30
deploy,20,task,standard,-0.005846913655598958,-0.019505661328633628,0.007264485359191892,30
deploy,21,final,class,1.0715703010559081,0.8849251015981039,1.2698379540443419,30
deploy,21,final,content,0.03198302586873372,-0.16728903690973917,0.23861325899759886,30
deploy,21,final,interaction,0.020777161916097006,-0.15634358247121175,0.19248224735259997,30
deploy,21,final,standard,-0.01120586395263672,-0.3080923732121785,0.28534934679667107,30
deploy,21,question,class,0.2558074633280436,0.2113322385152181,0.3045752231280009,30
deploy,21,question,content,0.013016796112060547,-0.040248792171478275,0.07188944975535075,30
deploy,21,question,interaction,0.004559040069580078,-0.036883244514465334,0.04469820578893023,30
deploy,21,question,standard,-0.008457756042480469,-0.09335005124409994,0.07204155286153156,30
deploy,21,readout,class,1.3076688766479492,1.0784385561943053,1.5559990191459656,30
deploy,21,readout,content,0.02958978017171224,-0.2168310284614563,0.2892448409398393,30
deploy,21,readout,interaction,0.02775993347167969,-0.194428927898407,0.24602097511291493,30
deploy,21,readout,standard,-0.001829846700032552,-0.39369878451029455,0.37148285547892235,30
deploy,21,task,class,0.0023455301920572917,-0.0014307030042012532,0.006154456138610837,30
deploy,21,task,content,0.00041370391845703126,-0.007444987297058106,0.008270140488942462,30
deploy,21,task,interaction,0.0017947514851888021,-0.0021018322308858236,0.006221977074940999,30
deploy,21,task,standard,0.001381047566731771,-0.006518607139587402,0.008738242785135903,30
eval,10,final,class,0.06031036376953125,0.02827112118403117,0.0915795834859212,30
eval,10,final,content,-0.0023651123046875,-0.057763072649637856,0.0580488324165342,30
eval,10,final,interaction,-0.017060279846191406,-0.0380499800046285,0.004938730398813877,30
eval,10,final,standard,-0.014695167541503906,-0.0742936118443807,0.039949963887532546,30
eval,10,question,class,-0.11649901072184245,-0.2583542935053508,0.0180299846331278,30
eval,10,question,content,0.130987548828125,-0.04210437933603923,0.3231275224685667,30
eval,10,question,interaction,0.13356552124023438,0.022257823944091797,0.24355572382609042,30
eval,10,question,standard,0.002577972412109375,-0.1834037446975708,0.17570892016092937,30
eval,10,readout,class,-0.050125471750895184,-0.17909175793329873,0.08287530819574988,30
eval,10,readout,content,0.1050196647644043,-0.06661165316899617,0.3031883406639098,30
eval,10,readout,interaction,0.10811503728230794,0.00013648192087809395,0.21369683027267447,30
eval,10,readout,standard,0.0030953725179036456,-0.19154858589172363,0.18466136137644412,30
eval,10,task,class,-0.06555347442626953,-0.1015046485265096,-0.028358758290608747,30
eval,10,task,content,0.08725910186767578,-0.013003132343292234,0.19988370656967153,30
