dst_cls,layer,region,effect,mean,lo,hi,n_contents
deploy,8,final,class,-0.002067311604817708,-0.03330590804417928,0.029291200637817115,30
deploy,8,final,content,0.01449413299560547,-0.04170180877049764,0.06472564220428442,30
deploy,8,final,interaction,0.014614613850911458,-0.016654081344604492,0.04776058038075765,30
deploy,8,final,standard,0.00012048085530598958,-0.06229604085286458,0.06260222752888997,30
deploy,8,question,class,0.5475429217020671,0.3725375469525655,0.7162767942746481,30
deploy,8,question,content,0.014454301198323567,-0.20868714729944862,0.23930411974589025,30
deploy,8,question,interaction,0.056199868520100914,-0.11043832143147787,0.22287712176640828,30
deploy,8,question,standard,0.041745567321777345,-0.28765122572580976,0.38345243612925156,30
deploy,8,readout,class,0.5684153238932291,0.4078022519747416,0.7350903375943502,30
deploy,8,readout,content,0.04776191711425781,-0.17713022152582805,0.2536985683441162,30
deploy,8,readout,interaction,0.07280705769856771,-0.09169357458750407,0.23937965154647825,30
deploy,8,readout,standard,0.025045140584309896,-0.2872371482849121,0.3500481796264648,30
deploy,8,task,class,-0.07794248263041179,-0.19661233425140381,0.038725676139195635,30
deploy,8,task,content,0.003327449162801107,-0.14555128574371337,0.14272524833679193,30
deploy,8,task,interaction,-0.011656777064005534,-0.08471861282984416,0.06455153624216715,30
deploy,8,task,standard,-0.014984226226806641,-0.1655303104718526,0.1474925740559896,30
deploy,16,final,class,0.5369574864705403,0.3934379943211873,0.685039792060852,30
deploy,16,final,content,0.08745829264322917,-0.11900327603022257,0.2959361481666565,30
deploy,16,final,interaction,0.004056549072265625,-0.16053603331247965,0.16617061853408813,30
deploy,16,final,standard,-0.08340174357096354,-0.3333040142059326,0.16256397883097276,30
deploy,16,question,class,1.8389978726704916,1.5619590878486633,2.116004979610443,30
deploy,16,question,content,0.09824075698852539,-0.294913809299469,0.4624590611457819,30
deploy,16,question,interaction,-0.026883538564046225,-0.2829575006167094,0.21471115986506117,30
deploy,16,question,standard,-0.12512429555257162,-0.5374072424570719,0.2829817978541056,30
deploy,16,readout,class,2.4242094993591308,2.0302849253018698,2.8304870422681168,30
deploy,16,readout,content,-0.06679595311482747,-0.6040282567342122,0.43298027594884236,30
deploy,16,readout,interaction,-0.06262852350870768,-0.5459329303105672,0.370661074320475,30
deploy,16,readout,standard,0.004167429606119792,-0.5707150332132975,0.591659426689148,30
deploy,16,task,class,0.045665613810221356,0.014449017842610677,0.07898676554361979,30
deploy,16,task,content,-5.168914794921875e-05,-0.05407837152481079,0.05192304611206054,30
deploy,16,task,interaction,-0.004178810119628906,-0.02715848604838053,0.016617733637491864,30
deploy,16,task,standard,-0.004127120971679688,-0.04989411830902099,0.04164984544118245,30
eval,8,final,class,-0.016693909962972004,-0.04793805042902628,0.01454894463221232,30
eval,8,final,content,-0.0041710853576660155,-0.06455427805582682,0.060440969467162806,30
eval,8,final,interaction,0.01250009536743164,-0.016673212051391603,0.03956508715947469,30
eval,8,final,standard,0.016671180725097656,-0.054126825332641605,0.08746992905934652,30
eval,8,question,class,-0.5060599009195964,-0.6685810073216756,-0.34777187983194985,30
eval,8,question,content,0.20206184387207032,-0.02290616512298584,0.4208776569366452,30
eval,8,question,interaction,0.1437620162963867,-0.04165959358215332,0.35423290650049816,30
eval,8,question,standard,-0.058299827575683597,-0.2956873099009196,0.17919461409250897,30
eval,8,readout,class,-0.5373432477315266,-0.7060240491231282,-0.3769772179921468,30
eval,8,readout,content,0.17914533615112305,-0.06459482272466024,0.4228551952044169,30
eval,8,readout,interaction,0.16251255671183268,-0.037464197476704916,0.38759286165237394,30
eval,8,readout,standard,-0.016632779439290365,-0.2542698780695597,0.22085018793741862,30
eval,8,task,class,-0.08544508616129558,-0.18124501784642538,-4.979451497395982e-05,30
eval,8,task,content,0.06041666666666667,-0.10631501277287801,0.2500261012713114,30
eval,8,task,interaction,-0.09369271596272787,-0.19789754152297975,6.465911865229622e-06,30
eval,8,task,standard,-0.15410938262939453,-0.3625671005249024,0.033351532618204754,30
eval,16,final,class,-0.47059062321980794,-0.616429693698883,-0.32268695036570233,30
eval,16,final,content,0.19575014114379882,0.037468088467915855,0.34988991022109983,30
eval,16,final,interaction,0.04166727066040039,-0.09586543401082358,0.1895789392789205,30
eval,16,final,standard,-0.15408287048339844,-0.3790258280436198,0.05863996187845812,30
eval,16,question,class,-1.6017717679341634,-1.8539600809415182,-1.3413915014266968,30
eval,16,question,content,0.2814592043558756,-0.10602254629135131,0.6460059507687881,30
eval,16,question,interaction,0.2727323849995931,-7.041772206624343e-05,0.5540967520078021,30
eval,16,question,standard,-0.008726819356282552,-0.5585539023081462,0.5285022020339966,30
eval,16,readout,class,-2.1056838989257813,-2.497100025812785,-1.7369314519564314,30
eval,16,readout,content,0.301949946085612,-0.2438521933555603,0.8395838069915763,30
eval,16,readout,interaction,0.31035296122233075,-0.15651230096817018,0.7915771643320717,30
eval,16,readout,standard,0.00840301513671875,-0.899915493329366,0.879374898274739,30
eval,16,task,class,0.006310367584228515,-0.022861413955688477,0.03545376380284627,30
eval,16,task,content,0.0020768801371256512,-0.043767143885294596,0.04790633281071981,30
eval,16,task,interaction,-0.006245644887288412,-0.029137867291768392,0.014589119752248128,30
eval,16,task,standard,-0.008322525024414062,-0.06660272439320881,0.04995529810587565,30
