dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,8,task,samecls_samecont,c003,-0.25031471252441406,2.2224063873291016,107,46,107
eval,8,question,samecls_samecont,c003,0.3749046325683594,1.0717641115188599,46,1,107
eval,8,final,samecls_samecont,c003,5.7220458984375e-06,0.6327796578407288,1,0,107
eval,8,readout,samecls_samecont,c003,0.3749103546142578,1.0622209310531616,46,0,107
eval,16,task,samecls_samecont,c003,0.1250438690185547,5.160714149475098,107,46,107
eval,16,question,samecls_samecont,c003,-0.6248283386230469,3.4898247718811035,46,1,107
eval,16,final,samecls_samecont,c003,-0.1251239776611328,2.2080953121185303,1,0,107
eval,16,readout,samecls_samecont,c003,-0.7500324249267578,3.461961269378662,46,0,107
eval,8,task,othercls_samecont,c003,-0.12514877319335938,2.5060009956359863,105,46,105
eval,8,question,othercls_samecont,c003,0.5006484985351562,1.4496138095855713,46,1,105
eval,8,final,othercls_samecont,c003,-4.9591064453125e-05,0.7711918354034424,1,0,105
eval,8,readout,othercls_samecont,c003,0.5002765655517578,1.4348655939102173,46,0,105
eval,16,task,othercls_samecont,c003,0.12517356872558594,7.146164894104004,105,46,105
eval,16,question,othercls_samecont,c003,-1.4991645812988281,5.676704406738281,46,1,105
eval,16,final,othercls_samecont,c003,0.25028419494628906,6.089297294616699,1,0,105
eval,16,readout,othercls_samecont,c003,-1.9972305297851562,5.685673713684082,46,0,105
eval,8,task,samecls_diffcont,c003,-0.00018310546875,2.2006120681762695,79,46,79
eval,8,question,samecls_diffcont,c003,0.1251392364501953,1.40631103515625,46,1,79
eval,8,final,samecls_diffcont,c003,0.12471771240234375,0.8374711275100708,1,0,79
eval,8,readout,samecls_diffcont,c003,0.12476921081542969,1.3939449787139893,46,0,79
eval,16,task,samecls_diffcont,c003,0.24995994567871094,5.931901454925537,79,46,79
eval,16,question,samecls_diffcont,c003,0.0002880096435546875,4.332203388214111,46,1,79
eval,16,final,samecls_diffcont,c003,0.12461662292480469,3.209505081176758,1,0,79
eval,16,readout,samecls_diffcont,c003,0.12493324279785156,4.307797431945801,46,0,79
eval,8,task,othercls_diffcont,c003,-0.0002574920654296875,2.402463436126709,79,46,79
