framing,system,acc,p_correct,lo,hi
eval,incentive,0.2916666567325592,0.3263909888919443,0.20650458180073958,0.46385904306856285
eval,neutral,0.2916666567325592,0.32196581255023676,0.19977677022494997,0.45770279451195767
deploy,incentive,0.25,0.33460038946941495,0.21963539933397747,0.46108184010954567
deploy,neutral,0.3333333432674408,0.36131203128024936,0.23475928737704332,0.5060578037324982
