direction,layer,alpha,acc,p_correct,belief
d,9,-4.0,0.25,0.30008241534233093,-0.25793084502220154
d,9,4.0,0.375,0.3934036195278168,0.08426042646169662
style,9,-4.0,0.2916666567325592,0.3121557831764221,-0.06039838120341301
style,9,4.0,0.375,0.37609294056892395,0.02845621109008789
random_0,9,-4.0,0.1666666716337204,0.24675683677196503,0.20692789554595947
random_0,9,4.0,0.2916666567325592,0.3867296278476715,-0.037059903144836426
random_1,9,-4.0,0.3333333432674408,0.36390420794487,-0.9313173294067383
random_1,9,4.0,0.3333333432674408,0.3005020320415497,0.514001727104187
random_2,9,-4.0,0.1666666716337204,0.27005457878112793,-0.004138430114835501
random_2,9,4.0,0.25,0.23935182392597198,0.3606196343898773
