dst_cls,layer,region,effect,mean,lo,hi,n_contents
deploy,16,final,class,-0.006729412078857422,-0.0319346276919047,0.019855117003122955,30
deploy,16,final,content,0.022981293996175132,-0.0552779229482015,0.1119543099403381,30
deploy,16,final,interaction,0.017802906036376954,-0.0007694911956787109,0.03640669902165728,30
deploy,16,final,standard,-0.005178387959798177,-0.09791057268778483,0.07837762355804444,30
deploy,16,question,class,0.37503795623779296,0.27409518082936607,0.48433917919794717,30
deploy,16,question,content,0.004444249471028646,-0.093968026638031,0.09645004034042357,30
deploy,16,question,interaction,0.0039831797281901045,-0.09772536198298137,0.1011295692125956,30
deploy,16,question,standard,-0.00046106974283854164,-0.12886941274007163,0.128566993077596,30
deploy,16,readout,class,0.40000168482462567,0.2837186312675476,0.5165132387479145,30
deploy,16,readout,content,0.03654934565226237,-0.06589005867640177,0.13915270725886025,30
deploy,16,readout,interaction,0.02205209732055664,-0.08673774480819701,0.12465192238489767,30
deploy,16,readout,standard,-0.01449724833170573,-0.20457247893015543,0.16063950061798093,30
deploy,16,task,class,-0.01025559107462565,-0.029633423487345375,0.009606132507324193,30
deploy,16,task,content,-0.01903225580851237,-0.04303443034489949,0.005294211705525698,30
deploy,16,task,interaction,-0.0032780647277832033,-0.015861104329427084,0.00996965408325194,30
deploy,16,task,standard,0.015754191080729167,-0.010103974342346191,0.04007637659708658,30
deploy,28,final,class,0.437322998046875,0.31641164541244504,0.5613617491722106,30
deploy,28,final,content,0.02562745412190755,-0.07898092826207478,0.13407959222793572,30
deploy,28,final,interaction,0.027757898966471354,-0.09553022066752115,0.13720263719558715,30
deploy,28,final,standard,0.002130444844563802,-0.195332350730896,0.18333611806233713,30
deploy,28,question,class,0.0044419288635253905,-0.003955176671346029,0.012236931324005119,30
deploy,28,question,content,-0.006946531931559244,-0.021373844941457113,0.006625453631083151,30
deploy,28,question,interaction,-0.005508899688720703,-0.014734891255696615,0.003235070705413815,30
deploy,28,question,standard,0.0014376322428385417,-0.012046286265055339,0.015065434773763018,30
deploy,28,readout,class,0.439305051167806,0.31940553029378255,0.5635817734400431,30
deploy,28,readout,content,0.026264254252115884,-0.07850143353144327,0.13296591997146603,30
deploy,28,readout,interaction,0.02562230428059896,-0.09443317810694375,0.13627053578694653,30
deploy,28,readout,standard,-0.0006419499715169271,-0.19249047915140788,0.1732662296295165,30
deploy,28,task,class,-0.0030954043070475262,-0.0066729720433553056,0.00040018320083618045,30
deploy,28,task,content,-0.003645801544189453,-0.012261162598927816,0.0041076342264811175,30
deploy,28,task,interaction,0.0003500938415527344,-0.0029697736104329427,0.0036256575584411614,30
deploy,28,task,standard,0.0039958953857421875,-0.0038917541503906247,0.012952612241109204,30
eval,16,final,class,0.021761576334635418,-0.008002492586771647,0.04954692602157592,30
eval,16,final,content,0.015198071797688803,-0.06720397869745891,0.10050375699996929,30
eval,16,final,interaction,0.030330085754394533,0.007746618588765462,0.05498558918635049,30
eval,16,final,standard,0.01513201395670573,-0.0795499547322591,0.10536990006764717,30
eval,16,question,class,-0.3171807607014974,-0.4149388980865478,-0.22369001706441258,30
eval,16,question,content,0.08039449055989584,-0.039045838514963786,0.19527099609374993,30
eval,16,question,interaction,0.08715432484944662,-0.021470444997151693,0.18584423065185546,30
eval,16,question,standard,0.006759834289550781,-0.16454177856445312,0.17641211668650306,30
eval,16,readout,class,-0.2690164566040039,-0.37251341581344605,-0.1700255314509074,30
eval,16,readout,content,0.1075466791788737,-0.002804047266642252,0.21583300987879434,30
eval,16,readout,interaction,0.11836554209391276,0.007110077540079754,0.21722365538279215,30
eval,16,readout,standard,0.010818862915039062,-0.11548824310302734,0.1437106386820475,30
eval,16,task,class,0.007546520233154297,-0.005073355038960775,0.021436989307403533,30
eval,16,task,content,0.009796682993570964,-0.02466197411219279,0.04303356329600013,30
eval,16,task,interaction,-0.0018424034118652345,-0.02304272969563802,0.019726257324218704,30
eval,16,task,standard,-0.011639086405436198,-0.05294614473978679,0.02942776044209796,30
eval,28,final,class,-0.28670307795206706,-0.3959473752975464,-0.18506695667902628,30
eval,28,final,content,0.1147672971089681,-0.00029311498006184854,0.22893256028493242,30
eval,28,final,interaction,0.119158140818278,0.0028374441464742036,0.22362676620483396,30
eval,28,final,standard,0.004390843709309896,-0.12620912075042726,0.14379721800486225,30
eval,28,question,class,-0.012891387939453125,-0.021109899679819744,-0.004929735660552986,30
eval,28,question,content,-0.007629521687825521,-0.02195870876312256,0.006071013609568269,30
eval,28,question,interaction,-0.005090904235839844,-0.016536516348520915,0.005547863642374668,30
eval,28,question,standard,0.002538617451985677,-0.01620428403218587,0.022678170204162594,30
eval,28,readout,class,-0.2953910827636719,-0.4041994619369507,-0.1925804169972738,30
eval,28,readout,content,0.11371110280354818,-0.0014709067344665522,0.23132666667302434,30
eval,28,readout,interaction,0.11429621378580729,-0.0026564470926920573,0.21871617794036866,30
eval,28,readout,standard,0.0005851109822591146,-0.1420455249150594,0.15032960573832185,30
eval,28,task,class,0.00301052729288737,-0.0010417246818542481,0.007198773225148517,30
eval,28,task,content,-0.0011406262715657552,-0.009820737838745118,0.0068627317746480145,30
eval,28,task,interaction,-0.0019436200459798177,-0.005921804904937745,0.0021552753448486305,30
eval,28,task,standard,-0.0008029937744140625,-0.008649601936340333,0.007724061012268061,30
