dst_cls,layer,region,source,content_id,delta,dist,a,b,kk
eval,16,task,samecls_samecont,c002,0.04220771789550781,18.686010360717773,104,44,104
eval,16,question,samecls_samecont,c002,0.11946487426757812,11.525308609008789,44,1,104
eval,16,final,samecls_samecont,c002,0.06189727783203125,6.706530570983887,1,0,104
eval,16,readout,samecls_samecont,c002,0.1961078643798828,11.415791511535645,44,0,104
eval,28,task,samecls_samecont,c002,0.015533447265625,90.52002716064453,104,44,104
eval,28,question,samecls_samecont,c002,0.026262283325195312,54.789188385009766,44,1,104
eval,28,final,samecls_samecont,c002,0.24014663696289062,30.411575317382812,1,0,104
eval,28,readout,samecls_samecont,c002,0.25629425048828125,54.23515319824219,44,0,104
eval,16,task,othercls_samecont,c002,0.0275421142578125,19.52086639404297,104,44,104
eval,16,question,othercls_samecont,c002,0.2710685729980469,13.193190574645996,44,1,104
eval,16,final,othercls_samecont,c002,0.16161155700683594,6.526797294616699,1,0,104
eval,16,readout,othercls_samecont,c002,0.40703392028808594,13.041681289672852,44,0,104
eval,28,task,othercls_samecont,c002,0.0039310455322265625,95.76334381103516,104,44,104
eval,28,question,othercls_samecont,c002,0.01850128173828125,68.63291931152344,44,1,104
eval,28,final,othercls_samecont,c002,0.4280376434326172,35.08393859863281,1,0,104
eval,28,readout,othercls_samecont,c002,0.4366912841796875,67.87044525146484,44,0,104
eval,16,task,samecls_diffcont,c002,0.09614753723144531,24.631999969482422,74,44,74
eval,16,question,samecls_diffcont,c002,0.07525062561035156,11.242659568786621,44,1,74
eval,16,final,samecls_diffcont,c002,-0.016450881958007812,8.183066368103027,1,0,74
eval,16,readout,samecls_diffcont,c002,0.07085609436035156,11.173123359680176,44,0,74
eval,28,task,samecls_diffcont,c002,0.011371612548828125,120.06343841552734,74,44,74
eval,28,question,samecls_diffcont,c002,0.0385589599609375,51.80717468261719,44,1,74
eval,28,final,samecls_diffcont,c002,0.13684844970703125,34.77859115600586,1,0,74
