layer,framing,mean,lo,hi,n
0,eval,0.011184597015380859,-0.01125710646311442,0.03549974759419757,60
0,deploy,-0.0970473607381185,-0.1116844658056895,-0.08289279063542684,60
1,eval,-0.10871478716532389,-0.14098037799199423,-0.0740294659137726,60
1,deploy,-0.0666993776957194,-0.08711163043975831,-0.04629872957865399,60
2,eval,-0.15711894035339355,-0.18317946434020996,-0.12779367963473004,60
2,deploy,-0.18116021156311035,-0.21524280468622842,-0.1481008819739024,60
3,eval,0.06405644416809082,0.026830976804097493,0.10022424697875976,60
3,deploy,0.15025951067606608,0.12943209052085877,0.17214031934738158,60
4,eval,-0.23226825396219888,-0.26901731332143153,-0.1912832295894623,60
4,deploy,-0.00661007563273112,-0.03358953396479288,0.02023901383082071,60
5,eval,0.004879903793334961,-0.050217031240463256,0.06104984084765115,60
5,deploy,-0.05758581161499023,-0.08699747959772745,-0.025216826995213826,60
6,eval,-0.15819807052612306,-0.19606202721595764,-0.12035778045654298,60
6,deploy,0.0562472661336263,0.0144118070602417,0.09748131434122713,60
7,eval,-0.31527907053629556,-0.35135832786560056,-0.27016578197479246,60
7,deploy,0.5443377176920573,0.4877187546094259,0.5979808966318767,60
8,eval,-0.12060767809549967,-0.15004005710283916,-0.08956283926963811,60
8,deploy,-0.037295834223429365,-0.0866024629275004,0.010812868674596137,60
9,eval,0.08333161671956381,0.04496759454409281,0.12471156994501749,60
9,deploy,-0.25670086542765297,-0.30054925402005517,-0.2088370422522227,60
10,eval,-0.3989633242289225,-0.4508196353912354,-0.3459862653414409,60
10,deploy,0.7032820224761963,0.6538321650028229,0.753463819026947,60
11,eval,-0.18826910654703777,-0.23829185644785564,-0.13768647193908692,60
11,deploy,-0.14731340408325194,-0.2037496542930603,-0.09385468522707623,60
12,eval,-0.2020688851674398,-0.23531371434529622,-0.1701137439409892,60
12,deploy,-0.2860769112904867,-0.31811266104380287,-0.253375434478124,60
13,eval,-0.31160821914672854,-0.36301933685938514,-0.26081074674924215,60
13,deploy,0.06865148544311524,0.03670095841089884,0.09997394561767577,60
14,eval,-0.18159338633219402,-0.228459415435791,-0.13526524305343637,60
14,deploy,0.2260730266571045,0.19748299757639565,0.2531730604171753,60
15,eval,0.016430775324503582,-0.008004451592763265,0.041135875781377146,60
15,deploy,-0.24773335456848145,-0.27256858587265015,-0.22299613595008855,60
16,eval,0.26824750900268557,0.23346168438593548,0.30135843793551115,60
16,deploy,0.0020491917928059894,-0.051610187292099,0.05646507104237874,60
17,eval,-0.12032163937886556,-0.1412148920694987,-0.09963730454444884,60
17,deploy,0.06276116371154786,0.04368402997652689,0.08197465658187865,60
18,eval,-0.18207980791727701,-0.2079859948158264,-0.1564442082246145,60
18,deploy,0.03289752006530762,0.019792004028956093,0.04586477001508077,60
19,eval,0.054384771982828775,0.037126395702362064,0.07007964015007018,60
19,deploy,-0.02120235761006673,-0.03940398613611857,-0.0030340103308359938,60
20,eval,0.1429456392923991,0.12856239318847656,0.1580099634329478,60
20,deploy,-0.07742873827616374,-0.08941562493642172,-0.06555970907211305,60
21,eval,0.06564718882242838,0.05611620783805847,0.07524179577827454,60
21,deploy,-0.017833423614501954,-0.02614158272743225,-0.008773308992385867,60
22,eval,0.042750215530395506,0.033252629041671755,0.05168612202008565,60
22,deploy,0.0006532669067382812,-0.008378713925679526,0.010056443611780798,60
23,eval,0.049201281865437825,0.0326271390914917,0.06560799797375996,60
23,deploy,0.036309274037679036,0.021831324100494383,0.051526329914728795,60
24,eval,0.0404728094736735,0.030184465249379476,0.05098004659016926,60
24,deploy,0.017657915751139324,0.007980685234069824,0.027903869549433382,60
25,eval,0.017857185999552407,0.008495808045069378,0.02699938615163167,60
25,deploy,0.016951560974121094,0.008611591657002768,0.0254458995660146,60
26,eval,0.008126513163248698,0.002135721445083618,0.014231009483337402,60
26,deploy,0.027187522252400717,0.019578433831532797,0.0349021585782369,60
27,eval,-0.00020071665445963542,-0.004520373741785684,0.004571387370427447,60
27,deploy,-0.0007870674133300781,-0.006075911124547323,0.004352546930313109,60
