layer,pair,direction,content_id,delta,baseline,k
0,0,deploy_to_eval,c006,0.040630340576171875,-0.57965087890625,123
0,0,eval_to_deploy,c006,-0.020374298095703125,-0.8376140594482422,123
0,0,unpaired_control,c006,-0.0050258636474609375,-0.57965087890625,79
1,0,deploy_to_eval,c006,-0.11877822875976562,-0.57965087890625,123
1,0,eval_to_deploy,c006,0.06369400024414062,-0.8376140594482422,123
1,0,unpaired_control,c006,-0.1529998779296875,-0.57965087890625,79
2,0,deploy_to_eval,c006,-0.04018402099609375,-0.57965087890625,123
2,0,eval_to_deploy,c006,0.0370025634765625,-0.8376140594482422,123
2,0,unpaired_control,c006,-0.2864360809326172,-0.57965087890625,79
3,0,deploy_to_eval,c006,-0.05094718933105469,-0.57965087890625,123
3,0,eval_to_deploy,c006,-0.02813720703125,-0.8376140594482422,123
3,0,unpaired_control,c006,-0.2018890380859375,-0.57965087890625,79
4,0,deploy_to_eval,c006,0.15210342407226562,-0.57965087890625,123
4,0,eval_to_deploy,c006,-0.15985107421875,-0.8376140594482422,123
4,0,unpaired_control,c006,-0.11277198791503906,-0.57965087890625,79
5,0,deploy_to_eval,c006,0.25341224670410156,-0.57965087890625,123
5,0,eval_to_deploy,c006,-0.13668251037597656,-0.8376140594482422,123
5,0,unpaired_control,c006,-0.08380889892578125,-0.57965087890625,79
6,0,deploy_to_eval,c006,-0.03892707824707031,-0.57965087890625,123
6,0,eval_to_deploy,c006,-0.1483612060546875,-0.8376140594482422,123
6,0,unpaired_control,c006,-0.2957496643066406,-0.57965087890625,79
7,0,deploy_to_eval,c006,0.09245681762695312,-0.57965087890625,123
7,0,eval_to_deploy,c006,-0.29662322998046875,-0.8376140594482422,123
7,0,unpaired_control,c006,-0.41969871520996094,-0.57965087890625,79
8,0,deploy_to_eval,c006,0.11454391479492188,-0.57965087890625,123
8,0,eval_to_deploy,c006,-0.28508567810058594,-0.8376140594482422,123
8,0,unpaired_control,c006,-0.4557037353515625,-0.57965087890625,79
9,0,deploy_to_eval,c006,-0.0023059844970703125,-0.57965087890625,123
9,0,eval_to_deploy,c006,-0.23679351806640625,-0.8376140594482422,123
9,0,unpaired_control,c006,-0.6291122436523438,-0.57965087890625,79
10,0,deploy_to_eval,c006,-0.05935096740722656,-0.57965087890625,123
10,0,eval_to_deploy,c006,-0.08358001708984375,-0.8376140594482422,123
10,0,unpaired_control,c006,-0.3589439392089844,-0.57965087890625,79
11,0,deploy_to_eval,c006,-0.2018299102783203,-0.57965087890625,123
11,0,eval_to_deploy,c006,0.00360107421875,-0.8376140594482422,123
11,0,unpaired_control,c006,-0.6254558563232422,-0.57965087890625,79
12,0,deploy_to_eval,c006,-0.021335601806640625,-0.57965087890625,123
12,0,eval_to_deploy,c006,-0.06452178955078125,-0.8376140594482422,123
12,0,unpaired_control,c006,-0.6361980438232422,-0.57965087890625,79
13,0,deploy_to_eval,c006,-0.033771514892578125,-0.57965087890625,123
13,0,eval_to_deploy,c006,-0.04680061340332031,-0.8376140594482422,123
13,0,unpaired_control,c006,-0.6526622772216797,-0.57965087890625,79
14,0,deploy_to_eval,c006,-0.057926177978515625,-0.57965087890625,123
14,0,eval_to_deploy,c006,0.06513786315917969,-0.8376140594482422,123
14,0,unpaired_control,c006,-0.7209758758544922,-0.57965087890625,79
15,0,deploy_to_eval,c006,-0.027313232421875,-0.57965087890625,123
15,0,eval_to_deploy,c006,0.04477691650390625,-0.8376140594482422,123
15,0,unpaired_control,c006,-0.7326984405517578,-0.57965087890625,79
16,0,deploy_to_eval,c006,-0.4390392303466797,-0.57965087890625,123
16,0,eval_to_deploy,c006,0.564056396484375,-0.8376140594482422,123
