layer,region,source,content_id,pair,delta,a,b
28,full,sameclass,c003,2,0.31619834899902344,108,0
28,readout,sameclass,c003,2,0.2902851104736328,44,0
28,task,sameclass,c003,2,0.027587890625,108,44
28,full,unpaired,c003,2,-0.09582710266113281,74,0
28,readout,unpaired,c003,2,-0.08320999145507812,44,0
28,task,unpaired,c003,2,-0.008863449096679688,74,44
28,full,unpaired_eval,c003,2,0.00102996826171875,74,0
28,readout,unpaired_eval,c003,2,0.012248992919921875,44,0
28,task,unpaired_eval,c003,2,-0.015878677368164062,74,44
10,full,paired,c006,3,-0.15065956115722656,123,0
10,readout,paired,c006,3,0.09425926208496094,44,0
10,task,paired,c006,3,-0.22025489807128906,123,44
10,full,sameclass,c006,3,-0.15489578247070312,126,0
10,readout,sameclass,c006,3,0.0061817169189453125,44,0
10,task,sameclass,c006,3,-0.14486122131347656,126,44
10,full,unpaired,c006,3,0.4622364044189453,52,0
10,readout,unpaired,c006,3,0.43454933166503906,44,0
10,task,unpaired,c006,3,-0.09467506408691406,52,44
10,full,unpaired_eval,c006,3,0.5464153289794922,52,0
10,readout,unpaired_eval,c006,3,0.39048004150390625,44,0
10,task,unpaired_eval,c006,3,0.18622779846191406,52,44
16,full,paired,c006,3,-0.026315689086914062,123,0
16,readout,paired,c006,3,0.05702018737792969,44,0
16,task,paired,c006,3,-0.042736053466796875,123,44
16,full,sameclass,c006,3,-0.1093902587890625,126,0
16,readout,sameclass,c006,3,-0.03396034240722656,44,0
16,task,sameclass,c006,3,-0.055217742919921875,126,44
16,full,unpaired,c006,3,0.5279064178466797,52,0
16,readout,unpaired,c006,3,0.5059871673583984,44,0
16,task,unpaired,c006,3,0.020265579223632812,52,44
16,full,unpaired_eval,c006,3,0.9372577667236328,52,0
16,readout,unpaired_eval,c006,3,0.7944736480712891,44,0
16,task,unpaired_eval,c006,3,0.11774826049804688,52,44
28,full,paired,c006,3,-0.09695243835449219,123,0
28,readout,paired,c006,3,-0.10136985778808594,44,0
28,task,paired,c006,3,0.0046710968017578125,123,44
28,full,sameclass,c006,3,-0.12817764282226562,126,0
28,readout,sameclass,c006,3,-0.11009025573730469,44,0
28,task,sameclass,c006,3,-0.01575469970703125,126,44
28,full,unpaired,c006,3,0.46273040771484375,52,0
28,readout,unpaired,c006,3,0.47532081604003906,44,0
28,task,unpaired,c006,3,-0.020128250122070312,52,44
28,full,unpaired_eval,c006,3,0.9636898040771484,52,0
28,readout,unpaired_eval,c006,3,0.9521675109863281,44,0
28,task,unpaired_eval,c006,3,-0.0012187957763671875,52,44
10,full,paired,c008,4,-0.09512138366699219,67,0
10,readout,paired,c008,4,0.08436012268066406,44,0
10,task,paired,c008,4,-0.16696929931640625,67,44
10,full,sameclass,c008,4,-0.19258880615234375,67,0
10,readout,sameclass,c008,4,0.08709526062011719,44,0
10,task,sameclass,c008,4,-0.3121776580810547,67,44
10,full,unpaired,c008,4,-0.1938915252685547,53,0
10,readout,unpaired,c008,4,-0.12853622436523438,44,0
10,task,unpaired,c008,4,-0.12858009338378906,53,44
10,full,unpaired_eval,c008,4,0.3454875946044922,53,0
10,readout,unpaired_eval,c008,4,0.35330963134765625,44,0
10,task,unpaired_eval,c008,4,0.03155708312988281,53,44
16,full,paired,c008,4,-0.45504188537597656,67,0
16,readout,paired,c008,4,-0.2818717956542969,44,0
16,task,paired,c008,4,-0.17951393127441406,67,44
16,full,sameclass,c008,4,-0.3257102966308594,67,0
