direction,layer,alpha,acc,p_correct,belief
d,10,-4.0,0.7083333134651184,0.744820773601532,0.10252825170755386
d,10,4.0,0.75,0.74570232629776,0.45144450664520264
style,10,-4.0,0.75,0.7445608973503113,0.07914721965789795
style,10,4.0,0.75,0.7659893035888672,0.20139579474925995
random_0,10,-4.0,0.7083333134651184,0.740098774433136,0.21380512416362762
random_0,10,4.0,0.75,0.761664092540741,0.16928303241729736
random_1,10,-4.0,0.75,0.7423288822174072,0.19410960376262665
random_1,10,4.0,0.75,0.7447780966758728,0.10859882831573486
random_2,10,-4.0,0.75,0.7467000484466553,0.3621056079864502
random_2,10,4.0,0.75,0.7435962557792664,0.07661422342061996
