layer,region,source,content_id,pair,delta,a,b
16,readout,paired,c003,2,-1.9972305297851562,46,0
16,task,paired,c003,2,0.12517356872558594,105,46
16,full,sameclass,c003,2,-0.7499237060546875,107,0
16,readout,sameclass,c003,2,-0.7500324249267578,46,0
16,task,sameclass,c003,2,0.1250438690185547,107,46
16,full,unpaired,c003,2,-2.621145248413086,79,0
16,readout,unpaired,c003,2,-2.2475337982177734,46,0
16,task,unpaired,c003,2,0.12529754638671875,79,46
16,full,unpaired_eval,c003,2,0.37495994567871094,79,0
16,readout,unpaired_eval,c003,2,0.12493324279785156,46,0
16,task,unpaired_eval,c003,2,0.24995994567871094,79,46
8,full,paired,c006,3,-1.6232833862304688,123,0
8,readout,paired,c006,3,-1.1242809295654297,46,0
8,task,paired,c006,3,-0.8745098114013672,123,46
8,full,sameclass,c006,3,0.1251506805419922,125,0
8,readout,sameclass,c006,3,-0.12499046325683594,46,0
8,task,sameclass,c006,3,0.374969482421875,125,46
8,full,unpaired,c006,3,-1.3752479553222656,59,0
8,readout,unpaired,c006,3,-1.3752269744873047,46,0
8,task,unpaired,c006,3,-0.2499523162841797,59,46
8,full,unpaired_eval,c006,3,-0.6252975463867188,59,0
8,readout,unpaired_eval,c006,3,-0.2504234313964844,46,0
8,task,unpaired_eval,c006,3,-0.4998359680175781,59,46
10,full,paired,c006,3,-1.9972572326660156,123,0
10,readout,paired,c006,3,-1.499338150024414,46,0
10,task,paired,c006,3,-0.6246776580810547,123,46
10,full,sameclass,c006,3,0.12526321411132812,125,0
10,readout,sameclass,c006,3,-0.2498607635498047,46,0
10,task,sameclass,c006,3,0.49988555908203125,125,46
10,full,unpaired,c006,3,-1.7501487731933594,59,0
10,readout,unpaired,c006,3,-1.6252212524414062,46,0
10,task,unpaired,c006,3,-0.2500591278076172,59,46
10,full,unpaired_eval,c006,3,-1.125265121459961,59,0
10,readout,unpaired_eval,c006,3,-0.8753433227539062,46,0
10,task,unpaired_eval,c006,3,-0.1250762939453125,59,46
16,full,paired,c006,3,-3.370107650756836,123,0
16,readout,paired,c006,3,-2.7471580505371094,46,0
16,task,paired,c006,3,0.0002231597900390625,123,46
16,full,sameclass,c006,3,-0.4995861053466797,125,0
16,readout,sameclass,c006,3,-0.4997882843017578,46,0
16,task,sameclass,c006,3,0.0001010894775390625,125,46
16,full,unpaired,c006,3,-2.2494258880615234,59,0
16,readout,unpaired,c006,3,-2.124391555786133,46,0
16,task,unpaired,c006,3,-0.0002079010009765625,59,46
16,full,unpaired_eval,c006,3,-1.62481689453125,59,0
16,readout,unpaired_eval,c006,3,-1.874551773071289,46,0
16,task,unpaired_eval,c006,3,-0.000240325927734375,59,46
8,full,paired,c008,4,-0.3747978210449219,73,0
8,readout,paired,c008,4,-0.7498264312744141,46,0
8,task,paired,c008,4,0.37500953674316406,73,46
8,full,sameclass,c008,4,0.3748321533203125,73,0
8,readout,sameclass,c008,4,0.624786376953125,46,0
8,task,sameclass,c008,4,2.288818359375e-05,73,46
8,full,unpaired,c008,4,-2.125032424926758,60,0
8,readout,unpaired,c008,4,-1.6250896453857422,46,0
8,task,unpaired,c008,4,-0.12502670288085938,60,46
