arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
unmatched,eval,16,final,samecls_samecont,c000,0.08415031433105469,9.10120964050293,0.10143965482711792,1.0,1.0,1.0,0,p00188,115,1,0,0
unmatched,eval,16,final,othercls_samecont,c000,0.10597801208496094,9.639341354370117,0.10743746161460876,1.0,1.0,1.0,0,p00117,111,1,0,0
unmatched,eval,16,final,samecls_diffcont,c000,-0.14261817932128906,8.203706741333008,0.09178952127695084,1.0,1.0,1.0,0,p00189,74,1,0,0
unmatched,eval,16,final,othercls_diffcont,c000,-0.025465011596679688,8.941428184509277,0.09979068487882614,1.0,1.0,1.0,0,p00289,74,1,0,0
selected,eval,16,final,samecls_samecont,c000,0.056194305419921875,7.053140640258789,0.079056017100811,1.0,1.0,1.0,0,p00570,115,1,0,1
selected,eval,16,final,othercls_samecont,c000,0.08524322509765625,7.547458171844482,0.08460791409015656,1.0,1.0,1.0,0,p00468,115,1,0,4
selected,eval,16,final,samecls_diffcont,c000,0.057033538818359375,10.1129732131958,0.11344289034605026,1.0,1.0,1.0,0,p00909,74,1,0,4
selected,eval,16,final,othercls_diffcont,c000,-0.057971954345703125,9.61988353729248,0.10786306858062744,1.0,1.0,1.0,0,p00691,74,1,0,4
constructed,eval,16,final,samecls_samecont,c000,0.08265495300292969,8.971420288085938,0.10000533610582352,0.9857394099235535,0.9857394099235535,0.9857394099235535,0,p00188,115,1,0,0
constructed_min,eval,16,final,samecls_samecont,c000,0.07393455505371094,8.203707695007324,0.09151099622249603,0.9013864398002625,0.9013864398002625,0.9013864398002625,0,p00188,115,1,0,0
constructed,eval,16,final,othercls_samecont,c000,0.09851455688476562,8.971419334411621,0.10005435347557068,0.9307089447975159,0.9307089447975159,0.9307089447975159,0,p00117,111,1,0,0
constructed_min,eval,16,final,othercls_samecont,c000,0.08988380432128906,8.203705787658691,0.09155233949422836,0.8510650992393494,0.8510650992393494,0.8510650992393494,0,p00117,111,1,0,0
constructed,eval,16,final,samecls_diffcont,c000,-0.1563129425048828,8.971421241760254,0.10045251995325089,1.0935814380645752,1.0935814380645752,1.0935814380645752,0,p00189,74,1,0,0
constructed_min,eval,16,final,samecls_diffcont,c000,-0.14262008666992188,8.203706741333008,0.09178952127695084,1.0,1.0,1.0,0,p00189,74,1,0,0
constructed,eval,16,final,othercls_diffcont,c000,-0.025568008422851562,8.971424102783203,0.10012960433959961,1.0033544301986694,1.0033544301986694,1.0033544301986694,0,p00289,74,1,0,0
constructed_min,eval,16,final,othercls_diffcont,c000,-0.023036956787109375,8.203706741333008,0.09146101027727127,0.917493999004364,0.917493999004364,0.917493999004364,0,p00289,74,1,0,0
unmatched,eval,16,readout,samecls_samecont,c000,0.0072498321533203125,13.621560096740723,0.1402226835489273,1.0,1.0,1.0,0,p00188,115,44,0,0
unmatched,eval,16,readout,othercls_samecont,c000,-0.02410125732421875,14.921594619750977,0.1526331603527069,1.0,1.0,1.0,0,p00117,111,44,0,0
unmatched,eval,16,readout,samecls_diffcont,c000,-0.2813587188720703,13.173873901367188,0.13559187948703766,1.0,1.0,1.0,0,p00189,74,44,0,0
unmatched,eval,16,readout,othercls_diffcont,c000,0.07062911987304688,14.939550399780273,0.15298353135585785,1.0,1.0,1.0,0,p00289,74,44,0,0
selected,eval,16,readout,samecls_samecont,c000,0.0072498321533203125,13.621560096740723,0.1402226835489273,1.0,1.0,1.0,0,p00188,115,44,0,0
selected,eval,16,readout,othercls_samecont,c000,0.05501747131347656,15.062882423400879,0.15462523698806763,1.0,1.0,1.0,0,p00296,111,44,0,3
selected,eval,16,readout,samecls_diffcont,c000,0.40347862243652344,18.064878463745117,0.1855640411376953,1.0,1.0,1.0,0,p00659,74,44,0,2
selected,eval,16,readout,othercls_diffcont,c000,-0.4808673858642578,16.623870849609375,0.17092813551425934,1.0,1.0,1.0,0,p00380,74,44,0,1
constructed,eval,16,readout,samecls_samecont,c000,0.026187896728515625,14.164145469665527,0.14527291059494019,1.053534746170044,0.8583599925041199,1.2661346197128296,0,p00188,115,44,0,0
constructed_min,eval,16,readout,samecls_samecont,c000,0.017923355102539062,12.664511680603027,0.13013969361782074,0.9404657483100891,0.7304961681365967,1.0,0,p00188,115,44,0,0
constructed,eval,16,readout,othercls_samecont,c000,-0.02825164794921875,14.164145469665527,0.14487594366073608,0.9568507671356201,0.8295668959617615,1.1382101774215698,0,p00117,111,44,0,0
constructed_min,eval,16,readout,othercls_samecont,c000,-0.020906448364257812,12.664511680603027,0.12980155646800995,0.8569564819335938,0.6847140789031982,1.0,0,p00117,111,44,0,0
constructed,eval,16,readout,samecls_diffcont,c000,-0.2886161804199219,14.164145469665527,0.1457570642232895,1.0839653015136719,0.8643988370895386,1.3450961112976074,0,p00189,74,44,0,0
constructed_min,eval,16,readout,samecls_diffcont,c000,-0.2674102783203125,12.664511680603027,0.13045424222946167,0.9662045836448669,0.7594369649887085,1.0,0,p00189,74,44,0,0
constructed,eval,16,readout,othercls_diffcont,c000,0.047412872314453125,14.164145469665527,0.1455688625574112,0.9474861025810242,0.6921610236167908,1.1750370264053345,0,p00289,74,44,0,0
constructed_min,eval,16,readout,othercls_diffcont,c000,0.0409088134765625,12.664511680603027,0.13029919564723969,0.8496413826942444,0.5335672497749329,1.0,0,p00289,74,44,0,0
unmatched,eval,16,task,samecls_samecont,c000,-0.0073604583740234375,17.86777114868164,0.18497343361377716,1.0,1.0,1.0,0,p00188,115,74,44,0
unmatched,eval,16,task,othercls_samecont,c000,0.012170791625976562,22.128087997436523,0.22909164428710938,1.0,1.0,1.0,0,p00117,111,74,44,0
unmatched,eval,16,task,samecls_diffcont,c000,-0.062000274658203125,24.0173282623291,0.24707047641277313,1.0,1.0,1.0,0,p00189,74,74,44,0
unmatched,eval,16,task,othercls_diffcont,c000,-0.04731559753417969,24.00655174255371,0.24454627931118011,1.0,1.0,1.0,0,p00289,74,74,44,0
selected,eval,16,task,samecls_samecont,c000,-0.0073604583740234375,17.86777114868164,0.18497343361377716,1.0,1.0,1.0,0,p00188,115,74,44,0
selected,eval,16,task,othercls_samecont,c000,-0.036479949951171875,15.823461532592773,0.1630394607782364,1.0,1.0,1.0,0,p00468,115,74,44,4
