arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,deploy,16,final,class,0.0017262140909830729,-0.027468356291453045,0.03233977953592935,30
constructed,deploy,16,final,content,0.035945955912272134,-0.025888423919677734,0.1021280002593994,30
constructed,deploy,16,final,interaction,0.02026475270589193,-0.0012378740310668944,0.041617166201273585,30
constructed,deploy,16,readout,class,0.2815567970275879,0.17944755792617798,0.39247630198796585,30
constructed,deploy,16,readout,content,0.001826318105061849,-0.08798578818639119,0.0855478390057881,30
constructed,deploy,16,readout,interaction,0.060219732920328777,-0.02430182615915934,0.1457646870613098,30
constructed,deploy,16,task,class,-0.008692487080891927,-0.026365442276000975,0.009375600020090724,30
constructed,deploy,16,task,content,0.0033454259236653646,-0.019634548823038736,0.02475641568501787,30
constructed,deploy,16,task,interaction,-0.005209223429361979,-0.018937169710795086,0.00864514509836832,30
constructed,deploy,28,final,class,0.3919026056925456,0.27738602002461754,0.5118999814987183,30
constructed,deploy,28,final,content,-0.0120819091796875,-0.10728024403254191,0.08089611530303954,30
constructed,deploy,28,final,interaction,0.08198426564534506,-0.021270596186319986,0.18189175287882475,30
constructed,deploy,28,readout,class,0.39448534647623695,0.2809215752283732,0.5165006573994954,30
constructed,deploy,28,readout,content,-0.017310523986816408,-0.11414452075958252,0.07454602718353251,30
constructed,deploy,28,readout,interaction,0.07743504842122396,-0.02736294666926066,0.18031143744786576,30
constructed,deploy,28,task,class,-0.0039805412292480465,-0.007556185722351075,-0.0002634652455647801,30
constructed,deploy,28,task,content,0.0017893791198730468,-0.004344151020050049,0.0072474733988443975,30
constructed,deploy,28,task,interaction,-0.0005824089050292969,-0.004066023031870524,0.0026863304773966424,30
constructed,eval,16,final,class,0.034341049194335935,0.0018994943300882977,0.06639148871103921,30
constructed,eval,16,final,content,0.015033213297526042,-0.046430761814117434,0.08417059818903604,30
constructed,eval,16,final,interaction,0.04582055409749349,0.017965792814890545,0.07453615347544351,30
constructed,eval,16,readout,class,-0.17949717839558918,-0.2736386450131734,-0.08792019287745158,30
constructed,eval,16,readout,content,0.11711517969767253,0.00977867921193441,0.22266096750895176,30
constructed,eval,16,readout,interaction,0.121507994333903,0.01602215766906738,0.2155378699302673,30
constructed,eval,16,task,class,0.011845874786376952,-0.002889625231424967,0.026258352597554522,30
constructed,eval,16,task,content,0.030039056142171224,-0.0003313453992207845,0.06094913244247436,30
constructed,eval,16,task,interaction,0.0028415362040201822,-0.016542123953501384,0.022303495407104457,30
constructed,eval,28,final,class,-0.231726868947347,-0.3273849129676819,-0.13997086048126223,30
constructed,eval,28,final,content,0.14891945521036784,0.031200448671976723,0.2737416887283324,30
constructed,eval,28,final,interaction,0.06666409174601237,-0.04374907493591308,0.16363018353780107,30
constructed,eval,28,readout,class,-0.2406881014506022,-0.3382246478398641,-0.14774307092030864,30
