dst_cls,layer,region,effect,mean,lo,hi,n_contents
deploy,9,final,class,-0.05321661631266276,-0.08914729754130045,-0.017804466883341478,30
deploy,9,final,content,0.018493843078613282,-0.0594098671277364,0.10056036313374836,30
deploy,9,final,interaction,-0.0031175613403320312,-0.03208158810933431,0.023932476043701155,30
deploy,9,final,standard,-0.021611404418945313,-0.11476572036743164,0.06484275817871088,30
deploy,9,question,class,0.10072898864746094,0.04293590466181437,0.15511820952097571,30
deploy,9,question,content,0.014347521464029948,-0.11571181376775107,0.1356618777910868,30
deploy,9,question,interaction,-0.004563713073730468,-0.04143915335337321,0.03201061248779296,30
deploy,9,question,standard,-0.018911234537760415,-0.13396851539611818,0.10734334309895818,30
deploy,9,readout,class,0.04837379455566406,-0.019243099689483643,0.11015973250071205,30
deploy,9,readout,content,0.02259343465169271,-0.07732753992080688,0.1237025372187296,30
deploy,9,readout,interaction,-0.010975964864095052,-0.05106517155965169,0.027451675732930492,30
deploy,9,readout,standard,-0.03356939951578776,-0.1435869248708089,0.06986158847808815,30
deploy,9,task,class,-0.053308359781901044,-0.0987243103981018,-0.004776821931203209,30
deploy,9,task,content,0.05564403533935547,-0.0089522655804952,0.11587934017181394,30
deploy,9,task,interaction,-0.03934675852457682,-0.08621846834818522,0.007668363253275489,30
deploy,9,task,standard,-0.09499079386393229,-0.166217041015625,-0.021662467320760093,30
deploy,22,final,class,0.36827478408813474,0.2320337724685669,0.5022920401891072,30
deploy,22,final,content,-0.025585015614827473,-0.18921825091044106,0.13976024468739823,30
deploy,22,final,interaction,-0.025816822052001955,-0.15801510969797772,0.1054055507977803,30
deploy,22,final,standard,-0.00023180643717447916,-0.2603977870941162,0.24550494670867853,30
deploy,22,question,class,0.005108992258707683,-0.0003225851058959961,0.010675991376241048,30
deploy,22,question,content,-0.0029138882954915365,-0.009063824017842611,0.0041698129971822,30
deploy,22,question,interaction,-0.0038204511006673177,-0.008430739243825277,0.0004737774531046525,30
deploy,22,question,standard,-0.0009065628051757813,-0.008681637446085612,0.006814599037170405,30
deploy,22,readout,class,0.37145856221516926,0.23696694056193035,0.5066218272844949,30
deploy,22,readout,content,-0.030329004923502604,-0.1912661099433899,0.13086829662322996,30
deploy,22,readout,interaction,-0.02891254425048828,-0.16056315422058107,0.10246637980143226,30
deploy,22,readout,standard,0.001416460673014323,-0.25413166046142577,0.24502177079518536,30
deploy,22,task,class,0.0003388086954752604,-0.0011899646123250326,0.001991260846455892,30
deploy,22,task,content,-0.002289708455403646,-0.00467709223429362,0.00018697261810302637,30
deploy,22,task,interaction,0.0007279713948567709,-0.0009314894676208496,0.002489103476206461,30
deploy,22,task,standard,0.003017679850260417,-0.00036379814147949216,0.0061089022954305,30
eval,9,final,class,0.047720781962076825,0.01812454382578532,0.0789967401822408,30
eval,9,final,content,0.017094993591308595,-0.08281600793202719,0.127155544757843,30
eval,9,final,interaction,0.004974873860677084,-0.03661459445953369,0.048159594535827625,30
eval,9,final,standard,-0.01212011973063151,-0.10985136508941651,0.08053691705067949,30
eval,9,question,class,-0.15034879048665364,-0.22867258151372272,-0.07036402781804403,30
eval,9,question,content,0.06893850962320963,-0.05244132995605469,0.1913164099057515,30
eval,9,question,interaction,0.05768146514892578,0.00221449613571167,0.11534147262573236,30
eval,9,question,standard,-0.011257044474283854,-0.15405528704325358,0.13412593205769846,30
eval,9,readout,class,-0.10291636784871419,-0.18844338814417522,-0.011363821824391804,30
eval,9,readout,content,0.0876069704691569,-0.008591891129811603,0.18773250023523966,30
eval,9,readout,interaction,0.055855846405029295,-0.0033309769630432127,0.1172324085235595,30
eval,9,readout,standard,-0.031751124064127605,-0.15046370029449463,0.0744280719757078,30
eval,9,task,class,0.06400394439697266,0.010846534570058186,0.11729037125905331,30
eval,9,task,content,0.031748517354329424,-0.05482797622680664,0.11370377699534087,30
eval,9,task,interaction,0.04286874135335286,-0.024953277111053468,0.10864579359690338,30
eval,9,task,standard,0.011120223999023437,-0.07602744897206624,0.09696791489919021,30
eval,22,final,class,-0.3424563407897949,-0.4905269122123718,-0.20367494583129891,30
eval,22,final,content,0.0520143191019694,-0.13092873255411783,0.24596102078755694,30
eval,22,final,interaction,0.05061489741007487,-0.12153536955515544,0.22204350392023717,30
eval,22,final,standard,-0.0013994216918945313,-0.11227400461832682,0.11180579821268714,30
eval,22,question,class,-0.009049415588378906,-0.013439330259958903,-0.004864278634389242,30
eval,22,question,content,-0.00020694732666015625,-0.007407959302266439,0.007407294114430739,30
eval,22,question,interaction,-0.0008436838785807291,-0.00493553082148234,0.0031142044067382813,30
eval,22,question,standard,-0.0006367365519205729,-0.008720269203186035,0.006959592501322429,30
eval,22,readout,class,-0.3509235382080078,-0.49725454568862915,-0.21180960098902402,30
eval,22,readout,content,0.04925111134847005,-0.1328521744410197,0.2397680505116779,30
eval,22,readout,interaction,0.049479230244954424,-0.12192703088124593,0.21909589449564615,30
eval,22,readout,standard,0.000228118896484375,-0.11234323024749755,0.11299036184946684,30
eval,22,task,class,-0.0015409787495930989,-0.0032354275385538737,0.00011411825815836575,30
eval,22,task,content,-0.0008706092834472656,-0.003262340227762858,0.0016288598378499338,30
eval,22,task,interaction,-0.002020740509033203,-0.0037845675150553386,-0.00032477537790934273,30
eval,22,task,standard,-0.0011501312255859375,-0.003462856610616048,0.0012856912612914996,30
