arm,dst_cls,layer,region,effect,mean,lo,hi,n_contents
constructed,eval,16,final,class,-0.4248956044514974,-0.5936977235476176,-0.2415671181678772,30
constructed,eval,16,final,content,0.349791145324707,0.16025015910466514,0.5434582702318826,30
constructed,eval,16,final,interaction,-0.058347829182942706,-0.20827324867248537,0.07716265042622857,30
constructed,eval,16,readout,class,-1.9485241889953613,-2.3558355792363486,-1.5716516574223836,30
constructed,eval,16,readout,content,0.5903336524963378,0.0975436004002889,1.0966345405578612,30
constructed,eval,16,readout,interaction,0.02182766596476237,-0.4167937175432841,0.42299241383870434,30
constructed,eval,16,task,class,0.018808015187581382,-0.006222756703694662,0.045878238677978515,30
constructed,eval,16,task,content,-0.02292744318644206,-0.07082754373550415,0.022907717227935793,30
constructed,eval,16,task,interaction,-0.014569632212320964,-0.03957922617594401,0.012514966328938802,30
constructed_min,deploy,8,final,class,-0.0020893096923828127,-0.029125357468922933,0.024937009811401366,30
constructed_min,deploy,8,final,content,0.006246185302734375,-0.02291042963663737,0.03744090000788371,30
constructed_min,deploy,8,final,interaction,0.006280644734700521,-0.020758589903513588,0.033271754582722975,30
constructed_min,deploy,8,readout,class,0.3309638023376465,0.21225548664728802,0.43920809507369996,30
constructed_min,deploy,8,readout,content,0.031088479359944663,-0.11268058141072591,0.1726468332608541,30
constructed_min,deploy,8,readout,interaction,0.08948914210001628,-0.014748685359954833,0.2081509288152059,30
constructed_min,deploy,8,task,class,-0.062322235107421874,-0.14128842035929362,0.010573833783467606,30
constructed_min,deploy,8,task,content,-0.012360509236653645,-0.1082258383433024,0.07092867294947307,30
constructed_min,deploy,8,task,interaction,-0.00018018086751302084,-0.050086142222086585,0.04775140206019084,30
constructed_min,deploy,16,final,class,0.2850528081258138,0.19942426284154258,0.3664393965403239,30
constructed_min,deploy,16,final,content,-0.07300936381022136,-0.17301907539367675,0.02081807931264241,30
constructed_min,deploy,16,final,interaction,0.05608348846435547,-0.03547721703847249,0.15188882112503052,30
constructed_min,deploy,16,readout,class,1.3473209698994955,1.1182206082344055,1.5785784324010212,30
constructed_min,deploy,16,readout,content,-0.08965762456258138,-0.3646391844749451,0.18131850798924737,30
constructed_min,deploy,16,readout,interaction,0.14358129501342773,-0.08143752574920654,0.35392014265060423,30
constructed_min,deploy,16,task,class,0.01452013651529948,-0.008406989574432373,0.03743342479070028,30
constructed_min,deploy,16,task,content,-0.03956686655680339,-0.07704965909322102,-0.006157639821370708,30
constructed_min,deploy,16,task,interaction,0.002056884765625,-0.01878205378850301,0.02082172711690267,30
constructed_min,eval,8,final,class,-0.004187266031901042,-0.031246373653411867,0.020806039174397786,30
constructed_min,eval,8,final,content,8.519490559895834e-06,-0.03539883454640706,0.03956063667933146,30
constructed_min,eval,8,final,interaction,-1.2969970703125e-05,-0.025018869241078694,0.02288733164469401,30
constructed_min,eval,8,readout,class,-0.33945973714192706,-0.4581739648183187,-0.2186732045809428,30
constructed_min,eval,8,readout,content,0.17288684844970703,0.022858745257059738,0.32702315409978233,30
constructed_min,eval,8,readout,interaction,0.06458473205566406,-0.06039355198542277,0.1999854858716329,30
constructed_min,eval,8,task,class,-0.043773587544759116,-0.08127873261769612,-0.006281330585479736,30
constructed_min,eval,8,task,content,-0.031207847595214843,-0.11449524641036987,0.06251540819803873,30
constructed_min,eval,8,task,interaction,0.0020819981892903645,-0.03958115339279175,0.041655683517456056,30
constructed_min,eval,16,final,class,-0.2832424799601237,-0.38114171346028647,-0.18109183311462432,30
constructed_min,eval,16,final,content,0.2040564219156901,0.09362428744633992,0.3185833311080932,30
constructed_min,eval,16,final,interaction,-0.02917137145996094,-0.12497052351633708,0.06039307355880737,30
constructed_min,eval,16,readout,class,-1.4413713455200194,-1.7454351766904195,-1.149755694071452,30
constructed_min,eval,16,readout,content,0.42067209879557294,0.07889046986897787,0.7706038029988607,30
constructed_min,eval,16,readout,interaction,0.016617520650227865,-0.25834354718526203,0.2728668181101481,30
constructed_min,eval,16,task,class,0.004204591115315755,-0.01871490796407064,0.02918764352798462,30
constructed_min,eval,16,task,content,-8.614857991536458e-06,-0.031247461636861165,0.031209253470102945,30
constructed_min,eval,16,task,interaction,0.004163901011149089,-0.012493459383646648,0.018749597867329913,30
selected,deploy,8,final,class,1.0172526041666666e-05,-0.029117662111918133,0.03123772144317627,30
selected,deploy,8,final,content,0.03736457824707031,-0.014714454015096029,0.08950111071268717,30
selected,deploy,8,final,interaction,-0.04168230692545573,-0.0750662612915039,-0.006408966382344567,30
selected,deploy,8,readout,class,0.26845118204752605,0.1352698787053426,0.39979694843292213,30
selected,deploy,8,readout,content,0.01849708557128906,-0.20473895947138468,0.22471156120300292,30
selected,deploy,8,readout,interaction,-0.018756612141927084,-0.1437718073527018,0.10633956273396782,30
selected,deploy,8,task,class,0.004426415761311849,-0.08918799956639607,0.08964107831319172,30
selected,deploy,8,task,content,-0.06226917902628581,-0.1683241073290507,0.04386440912882487,30
selected,deploy,8,task,interaction,-0.008437887827555338,-0.06458729743957518,0.054077390829722086,30
selected,deploy,16,final,class,0.3164135297139486,0.2037564253807068,0.4414130282402039,30
selected,deploy,16,final,content,0.13755076726277668,-0.03133989175160726,0.3398470520973206,30
