arm,dst_cls,layer,region,source,content_id,delta,dist,dist_unit,scale,scale_min,scale_max,n_clamped,pid,kk,a,b,cand
constructed,eval,8,readout,othercls_diffcont,c000,-0.6246776580810547,1.161604881286621,0.1443788707256317,0.8615603446960449,0.6006854176521301,0.9700242280960083,0,p00289,79,46,0,0
constructed_min,eval,8,readout,othercls_diffcont,c000,-0.7495746612548828,0.953590989112854,0.11861864477396011,0.7063976526260376,0.35885265469551086,0.9522942900657654,0,p00289,79,46,0,0
unmatched,eval,8,task,samecls_samecont,c000,-0.1248931884765625,1.4043697118759155,0.18283036351203918,1.0,1.0,1.0,0,p00188,109,79,46,0
unmatched,eval,8,task,othercls_samecont,c000,-0.3749275207519531,1.6687228679656982,0.21567492187023163,1.0,1.0,1.0,0,p00117,108,79,46,0
unmatched,eval,8,task,samecls_diffcont,c000,0.0001468658447265625,2.390376091003418,0.30124422907829285,1.0,1.0,1.0,0,p00189,79,79,46,0
unmatched,eval,8,task,othercls_diffcont,c000,3.814697265625e-05,2.36913800239563,0.2994263470172882,1.0,1.0,1.0,0,p00289,79,79,46,0
selected,eval,8,task,samecls_samecont,c000,-0.12493133544921875,1.6271533966064453,0.21071122586727142,1.0,1.0,1.0,0,p00755,109,79,46,3
selected,eval,8,task,othercls_samecont,c000,-0.3749275207519531,1.6687228679656982,0.21567492187023163,1.0,1.0,1.0,0,p00117,108,79,46,0
selected,eval,8,task,samecls_diffcont,c000,-0.24988365173339844,2.270000696182251,0.2894901633262634,1.0,1.0,1.0,0,p00754,79,79,46,3
selected,eval,8,task,othercls_diffcont,c000,0.12488365173339844,2.2284600734710693,0.28090840578079224,1.0,1.0,1.0,0,p00691,79,79,46,4
constructed,eval,8,task,samecls_samecont,c000,-0.12489891052246094,1.958279013633728,0.25993701815605164,1.4285752773284912,1.03895902633667,4.797048091888428,0,p00188,109,79,46,0
constructed_min,eval,8,task,samecls_samecont,c000,0.0001220703125,1.3955856561660767,0.18152251839637756,0.9920696020126343,0.9293346405029297,1.0,0,p00188,109,79,46,0
constructed,eval,8,task,othercls_samecont,c000,-0.24991989135742188,1.9578732252120972,0.25655144453048706,1.2428463697433472,0.8910778760910034,3.8136746883392334,0,p00117,108,79,46,0
constructed_min,eval,8,task,othercls_samecont,c000,-0.24996566772460938,1.395378828048706,0.18152566254138947,0.8751343488693237,0.680555522441864,1.0,0,p00117,108,79,46,0
constructed,eval,8,task,samecls_diffcont,c000,0.000186920166015625,1.9581599235534668,0.25665804743766785,0.8637280464172363,0.5622400045394897,0.9751119017601013,0,p00189,79,79,46,0
constructed_min,eval,8,task,samecls_diffcont,c000,0.00014495849609375,1.395633339881897,0.18132402002811432,0.6825793385505676,0.11720540374517441,0.9087904691696167,0,p00189,79,79,46,0
constructed,eval,8,task,othercls_diffcont,c000,0.000118255615234375,1.958397388458252,0.25754085183143616,0.8834200501441956,0.5616399645805359,0.9909895062446594,0,p00289,79,79,46,0
constructed_min,eval,8,task,othercls_diffcont,c000,9.34600830078125e-05,1.395503282546997,0.18149609863758087,0.6985654830932617,0.11946695297956467,0.906243622303009,0,p00289,79,79,46,0
unmatched,eval,16,final,samecls_samecont,c000,-0.3745403289794922,2.3073105812072754,0.14812129735946655,1.0,1.0,1.0,0,p00188,109,1,0,0
unmatched,eval,16,final,othercls_samecont,c000,-0.3743915557861328,4.427777290344238,0.28333282470703125,1.0,1.0,1.0,0,p00117,108,1,0,0
unmatched,eval,16,final,samecls_diffcont,c000,0.125244140625,3.1332576274871826,0.19816429913043976,1.0,1.0,1.0,0,p00189,79,1,0,0
unmatched,eval,16,final,othercls_diffcont,c000,0.1252422332763672,3.688737154006958,0.23369243741035461,1.0,1.0,1.0,0,p00289,79,1,0,0
selected,eval,16,final,samecls_samecont,c000,-0.12453460693359375,2.987413167953491,0.1914706975221634,1.0,1.0,1.0,0,p01203,109,1,0,5
selected,eval,16,final,othercls_samecont,c000,-0.37462806701660156,2.739577054977417,0.17425626516342163,1.0,1.0,1.0,0,p00561,108,1,0,5
selected,eval,16,final,samecls_diffcont,c000,-0.12467384338378906,3.335005760192871,0.21246172487735748,1.0,1.0,1.0,0,p00217,79,1,0,1
selected,eval,16,final,othercls_diffcont,c000,0.00028228759765625,3.5828921794891357,0.2244912087917328,1.0,1.0,1.0,0,p00691,79,1,0,4
constructed,eval,16,final,samecls_samecont,c000,-0.4992408752441406,3.3896238803863525,0.2172316014766693,1.4689269065856934,1.4689269065856934,1.4689269065856934,0,p00188,109,1,0,0
constructed_min,eval,16,final,samecls_samecont,c000,-0.3745403289794922,2.3073105812072754,0.14812129735946655,1.0,1.0,1.0,0,p00188,109,1,0,0
constructed,eval,16,final,othercls_samecont,c000,-0.2496776580810547,3.389417886734009,0.21766258776187897,0.7654564380645752,0.7654564380645752,0.7654564380645752,0,p00117,108,1,0,0
constructed_min,eval,16,final,othercls_samecont,c000,-0.12476730346679688,2.3072509765625,0.148204505443573,0.5210990309715271,0.5210990309715271,0.5210990309715271,0,p00117,108,1,0,0
constructed,eval,16,final,samecls_diffcont,c000,0.1252422332763672,3.3886525630950928,0.2138480693101883,1.0817081928253174,1.0817081928253174,1.0817081928253174,0,p00189,79,1,0,0
constructed_min,eval,16,final,samecls_diffcont,c000,0.2500896453857422,2.308351755142212,0.14693504571914673,0.7363935112953186,0.7363935112953186,0.7363935112953186,0,p00189,79,1,0,0
constructed,eval,16,final,othercls_diffcont,c000,0.12528419494628906,3.388937473297119,0.21524325013160706,0.9188159704208374,0.9188159704208374,0.9188159704208374,0,p00289,79,1,0,0
constructed_min,eval,16,final,othercls_diffcont,c000,0.000186920166015625,2.3092474937438965,0.1475553959608078,0.6255015134811401,0.6255015134811401,0.6255015134811401,0,p00289,79,1,0,0
unmatched,eval,16,readout,samecls_samecont,c000,-0.8747329711914062,4.015926837921143,0.23761801421642303,1.0,1.0,1.0,0,p00188,109,46,0,0
unmatched,eval,16,readout,othercls_samecont,c000,-2.4992923736572266,4.26564359664917,0.2534260153770447,1.0,1.0,1.0,0,p00117,108,46,0,0
unmatched,eval,16,readout,samecls_diffcont,c000,-0.25003814697265625,4.438051223754883,0.263205349445343,1.0,1.0,1.0,0,p00189,79,46,0,0
unmatched,eval,16,readout,othercls_diffcont,c000,-0.7499141693115234,5.461613655090332,0.32099223136901855,1.0,1.0,1.0,0,p00289,79,46,0,0
selected,eval,16,readout,samecls_samecont,c000,-0.8747329711914062,4.015926837921143,0.23761801421642303,1.0,1.0,1.0,0,p00188,109,46,0,0
selected,eval,16,readout,othercls_samecont,c000,-1.2492084503173828,4.3621392250061035,0.25934749841690063,1.0,1.0,1.0,0,p00468,109,46,0,4
selected,eval,16,readout,samecls_diffcont,c000,0.6251678466796875,5.496592044830322,0.32384341955184937,1.0,1.0,1.0,0,p00659,79,46,0,2
selected,eval,16,readout,othercls_diffcont,c000,-2.2487754821777344,5.150755405426025,0.30447104573249817,1.0,1.0,1.0,0,p00724,79,46,0,5
constructed,eval,16,readout,samecls_samecont,c000,-1.1245498657226562,4.545663833618164,0.26926663517951965,1.1751266717910767,0.9028550386428833,1.5801748037338257,0,p00188,109,46,0,0
constructed_min,eval,16,readout,samecls_samecont,c000,-0.8747730255126953,3.878443956375122,0.23001253604888916,0.9761132001876831,0.8359493017196655,1.0,0,p00188,109,46,0,0
constructed,eval,16,readout,othercls_samecont,c000,-2.374479293823242,4.545324802398682,0.26894262433052063,1.0877008438110352,0.7654564380645752,1.3205629587173462,0,p00117,108,46,0,0
constructed_min,eval,16,readout,othercls_samecont,c000,-1.9996414184570312,3.878904342651367,0.2297275811433792,0.9103298187255859,0.5210990309715271,1.0,0,p00117,108,46,0,0
constructed,eval,16,readout,samecls_diffcont,c000,-0.3750343322753906,4.545395374298096,0.2677702009677887,1.0060302019119263,0.6925800442695618,1.2755367755889893,0,p00189,79,46,0,0
constructed_min,eval,16,readout,samecls_diffcont,c000,-0.250091552734375,3.8788113594055176,0.22905762493610382,0.8482778668403625,0.4382932782173157,1.0,0,p00189,79,46,0,0
constructed,eval,16,readout,othercls_diffcont,c000,-0.7498264312744141,4.545276641845703,0.26988717913627625,0.8410336971282959,0.5659314393997192,1.0696470737457275,0,p00289,79,46,0,0
constructed_min,eval,16,readout,othercls_diffcont,c000,-0.6248970031738281,3.87864351272583,0.23028215765953064,0.7092393040657043,0.391491562128067,0.9171339869499207,0,p00289,79,46,0,0
unmatched,eval,16,task,samecls_samecont,c000,-0.12489509582519531,4.396842002868652,0.2542353570461273,1.0,1.0,1.0,0,p00188,109,79,46,0
unmatched,eval,16,task,othercls_samecont,c000,0.00031280517578125,5.397796630859375,0.31113317608833313,1.0,1.0,1.0,0,p00117,108,79,46,0
unmatched,eval,16,task,samecls_diffcont,c000,-9.5367431640625e-05,6.03399133682251,0.3519495725631714,1.0,1.0,1.0,0,p00189,79,79,46,0
unmatched,eval,16,task,othercls_diffcont,c000,-5.7220458984375e-06,6.489664554595947,0.37904247641563416,1.0,1.0,1.0,0,p00289,79,79,46,0
selected,eval,16,task,samecls_samecont,c000,-3.814697265625e-06,4.168615341186523,0.24156107008457184,1.0,1.0,1.0,0,p00570,109,79,46,1
selected,eval,16,task,othercls_samecont,c000,-0.12494468688964844,4.208133697509766,0.24332864582538605,1.0,1.0,1.0,0,p00468,109,79,46,4
selected,eval,16,task,samecls_diffcont,c000,4.00543212890625e-05,6.204329967498779,0.3610270023345947,1.0,1.0,1.0,0,p00754,79,79,46,3
selected,eval,16,task,othercls_diffcont,c000,-4.38690185546875e-05,6.164855003356934,0.3590226471424103,1.0,1.0,1.0,0,p00691,79,79,46,4
constructed,eval,16,task,samecls_samecont,c000,-0.12498283386230469,5.5794901847839355,0.32162991166114807,1.3033080101013184,0.880337655544281,2.2109174728393555,0,p00188,109,79,46,0
constructed_min,eval,16,task,samecls_samecont,c000,-0.12497901916503906,4.297181606292725,0.24867890775203705,0.9843945503234863,0.7540836334228516,1.0,0,p00188,109,79,46,0
constructed,eval,16,task,othercls_samecont,c000,0.0001888275146484375,5.579548358917236,0.32132652401924133,1.0620325803756714,0.7365212440490723,1.7255219221115112,0,p00117,108,79,46,0
constructed_min,eval,16,task,othercls_samecont,c000,0.000152587890625,4.297238349914551,0.24860040843486786,0.8111863732337952,0.45826536417007446,1.0,0,p00117,108,79,46,0
constructed,eval,16,task,samecls_diffcont,c000,-2.86102294921875e-05,5.579657077789307,0.3253646790981293,0.9482429027557373,0.6867040395736694,1.1674270629882812,0,p00189,79,79,46,0
constructed_min,eval,16,task,samecls_diffcont,c000,-3.0517578125e-05,4.297235012054443,0.24948102235794067,0.7556361556053162,0.31059688329696655,1.0,0,p00189,79,79,46,0
constructed,eval,16,task,othercls_diffcont,c000,-9.5367431640625e-06,5.579865455627441,0.3270806074142456,0.8799100518226624,0.6644871830940247,1.0265699625015259,0,p00289,79,79,46,0
